a : 3.4109, 0 -> 5
b : -5.3398, 0 -> 0
a : -2.2201, 1 -> 0
b : 6.8806, 1 -> 0
a : -4.4689, 2 -> 1
b : -8.0209, 2 -> 4
a : 5.6854, 3 -> 3
b : -8.1655, 3 -> 7
a : -8.4991, 4 -> 5
b : 0.2932, 4 -> 4
a : 2.2504, 5 -> 7
b : 5.0021, 5 -> 4
a : -4.2851, 6 -> 0
b : 7.2682, 6 -> 1
a : -3.0795, 7 -> 4
b : -1.4918, 7 -> 1
a : 2.8408, 0 -> 0
a : 6.4209, 1 -> 0
b : -0.7137, 2 -> 5
b : -2.1617, 3 -> 6
b : 7.6426, 4 -> 0
b : 1.5243, 5 -> 0
a : 4.7908, 6 -> 6
b : 8.2577, 7 -> 0
b : 5.9534, 5 -> 2
b : 6.9939, 5 -> 3
