a : -0.6388, 0 -> 5
b : -9.1802, 0 -> 0
c : -9.4006, 0 -> 3
d : -6.2643, 0 -> 0
a : 6.7432, 1 -> 2
b : -7.5761, 1 -> 0
c : -4.2342, 1 -> 5
d : 5.9182, 1 -> 6
a : 3.9385, 2 -> 5
b : 3.5911, 2 -> 1
c : 3.7660, 2 -> 3
d : -7.6330, 2 -> 2
a : -0.5385, 3 -> 3
b : -1.8070, 3 -> 5
c : -8.7436, 3 -> 7
d : 5.9458, 3 -> 4
a : -2.1052, 4 -> 5
b : 9.5188, 4 -> 6
c : 1.5057, 4 -> 2
d : 1.7804, 4 -> 3
a : 7.5857, 5 -> 6
b : -5.8655, 5 -> 6
c : 5.9327, 5 -> 1
d : 3.7725, 5 -> 7
a : 9.1824, 6 -> 7
b : -0.1366, 6 -> 7
c : -4.9906, 6 -> 0
d : 9.9210, 6 -> 3
a : -5.3464, 7 -> 2
b : 5.0464, 7 -> 1
c : -7.1642, 7 -> 5
d : 8.2557, 7 -> 4
a : 7.0668, 0 -> 7
c : 7.6177, 0 -> 4
d : 4.3651, 1 -> 4
b : 6.5794, 1 -> 3
c : 7.5735, 2 -> 6
d : -9.5117, 2 -> 5
a : -5.1583, 3 -> 1
b : 1.3110, 3 -> 6
d : -7.5361, 4 -> 1
d : -7.1036, 4 -> 4
d : 6.5263, 5 -> 0
b : 4.6091, 5 -> 3
d : -8.5464, 6 -> 2
b : -8.9998, 6 -> 0
d : 0.8001, 7 -> 4
a : -4.7241, 7 -> 7
