a : 6.3569, 0 -> 5
b : 0.8947, 0 -> 1
c : -7.2233, 0 -> 6
d : 9.0814, 0 -> 2
a : -7.8129, 1 -> 7
b : 7.9683, 1 -> 3
c : 3.3969, 1 -> 3
d : -7.9018, 1 -> 5
a : -7.5904, 2 -> 3
b : 9.0919, 2 -> 1
c : -9.1250, 2 -> 4
d : -9.5703, 2 -> 6
a : 9.1469, 3 -> 1
b : -2.0533, 3 -> 2
c : 7.6810, 3 -> 4
d : 5.2091, 3 -> 7
a : 8.4539, 4 -> 1
b : 0.2769, 4 -> 5
c : -1.8663, 4 -> 5
d : -8.7882, 4 -> 0
a : -1.6880, 5 -> 3
b : 6.9585, 5 -> 1
c : -2.3336, 5 -> 7
d : 8.6810, 5 -> 3
a : 3.3253, 6 -> 3
b : 4.2637, 6 -> 0
c : -3.1167, 6 -> 3
d : -7.5464, 6 -> 4
a : 3.6143, 7 -> 3
b : -1.0593, 7 -> 7
c : -7.1240, 7 -> 1
d : -8.3759, 7 -> 1
b : -1.9782, 0 -> 3
c : 5.4093, 0 -> 5
a : 5.1356, 1 -> 1
b : 8.8440, 1 -> 5
d : -2.2459, 2 -> 0
c : 2.6350, 2 -> 6
b : 5.8230, 3 -> 3
c : -3.9026, 3 -> 3
b : 2.5777, 4 -> 5
a : 9.5586, 4 -> 0
d : 6.8354, 5 -> 5
d : -7.8349, 5 -> 4
a : -8.0870, 6 -> 7
a : -8.8424, 6 -> 3
a : 7.1881, 7 -> 3
a : -7.4226, 7 -> 0
