a : 9.2585, 0 -> 2
b : -9.0188, 0 -> 3
c : -1.0228, 0 -> 0
d : 2.8358, 0 -> 5
a : 6.5021, 1 -> 1
b : -9.4324, 1 -> 0
c : 4.4201, 1 -> 7
d : -1.6913, 1 -> 0
a : -2.9946, 2 -> 3
b : 0.4639, 2 -> 3
c : -6.3373, 2 -> 0
d : 1.5943, 2 -> 0
a : -5.8181, 3 -> 5
b : 1.7575, 3 -> 4
c : 7.7121, 3 -> 6
d : -3.4219, 3 -> 3
a : 5.5581, 4 -> 2
b : -3.0994, 4 -> 3
c : 5.3875, 4 -> 5
d : 4.5274, 4 -> 3
a : 1.9723, 5 -> 5
b : 6.5410, 5 -> 0
c : -4.5542, 5 -> 1
d : -9.9597, 5 -> 2
a : -6.7411, 6 -> 4
b : 8.4323, 6 -> 2
c : 6.7425, 6 -> 3
d : 3.5982, 6 -> 0
a : 9.5877, 7 -> 3
b : -4.0215, 7 -> 0
c : -5.5222, 7 -> 3
d : 4.1214, 7 -> 3
a : -6.6270, 0 -> 1
b : 8.4273, 0 -> 0
d : -9.0138, 1 -> 1
d : 1.2804, 1 -> 4
a : 8.8832, 2 -> 4
d : -5.8000, 2 -> 1
c : 9.5248, 3 -> 5
b : -5.4831, 3 -> 1
a : 9.9674, 4 -> 1
a : 4.3258, 4 -> 4
d : 5.3794, 5 -> 6
c : 6.0495, 5 -> 6
d : 7.9549, 6 -> 3
c : 9.1899, 6 -> 3
b : 6.5857, 7 -> 7
d : 9.5145, 7 -> 3
