a : 4.5870, 0 -> 3
b : 1.2791, 0 -> 6
c : 3.7855, 0 -> 0
d : -9.5499, 0 -> 0
a : -8.7976, 1 -> 7
b : 9.0148, 1 -> 2
c : 2.4929, 1 -> 6
d : 6.4961, 1 -> 7
a : -1.1826, 2 -> 3
b : 3.2612, 2 -> 5
c : 5.2824, 2 -> 6
d : -1.7713, 2 -> 3
a : -4.3736, 3 -> 3
b : 7.8860, 3 -> 6
c : -9.8797, 3 -> 5
d : 8.5919, 3 -> 3
a : 0.8038, 4 -> 1
b : -6.5682, 4 -> 6
c : 6.8432, 4 -> 4
d : -0.3596, 4 -> 7
a : 8.5622, 5 -> 5
b : 7.3773, 5 -> 1
c : 9.0047, 5 -> 1
d : 2.2473, 5 -> 1
a : 3.6176, 6 -> 5
b : 6.6829, 6 -> 3
c : -4.3254, 6 -> 6
d : -6.2466, 6 -> 2
a : -3.3155, 7 -> 5
b : 6.8432, 7 -> 5
c : -9.7186, 7 -> 0
d : 7.4165, 7 -> 5
b : -9.5106, 0 -> 0
a : 6.3160, 0 -> 7
b : -7.1849, 1 -> 4
c : -5.2202, 1 -> 0
d : 3.8972, 2 -> 7
d : 6.4658, 2 -> 3
a : 9.9396, 3 -> 4
d : -8.7754, 3 -> 1
a : 3.7492, 4 -> 6
d : 1.8948, 4 -> 0
c : -5.1547, 5 -> 7
b : 2.0597, 5 -> 7
d : 2.4260, 6 -> 4
c : -5.0420, 6 -> 3
d : 1.6448, 7 -> 1
d : -8.3777, 7 -> 6
