a : 2.2415, 0 -> 0
b : 2.2518, 0 -> 5
c : -7.2431, 0 -> 4
d : 7.4426, 0 -> 4
a : 7.4463, 1 -> 3
b : 6.5969, 1 -> 4
c : 4.9474, 1 -> 1
d : -2.4695, 1 -> 0
a : 5.8242, 2 -> 3
b : -9.4087, 2 -> 4
c : 4.4199, 2 -> 1
d : 8.2339, 2 -> 4
a : -1.9016, 3 -> 3
b : -5.7263, 3 -> 2
c : -0.2648, 3 -> 1
d : 7.0874, 3 -> 0
a : -3.1176, 4 -> 4
b : -3.1461, 4 -> 3
c : -3.8535, 4 -> 3
d : 3.4740, 4 -> 3
a : 3.0775, 5 -> 5
b : 2.1549, 5 -> 1
c : -8.4378, 5 -> 6
d : -7.9430, 5 -> 2
a : -8.1483, 6 -> 2
b : 6.3557, 6 -> 6
c : 2.7832, 6 -> 5
d : 1.5472, 6 -> 5
a : -6.2867, 7 -> 6
b : -4.4785, 7 -> 6
c : 5.8212, 7 -> 0
d : -0.1076, 7 -> 3
b : 3.2721, 0 -> 3
c : 1.4897, 0 -> 7
b : -2.8016, 1 -> 7
c : 2.2765, 1 -> 4
d : -8.5576, 2 -> 2
a : 3.1661, 2 -> 3
c : 5.6641, 3 -> 3
b : -1.8025, 3 -> 5
b : 7.8406, 4 -> 1
a : -4.5901, 4 -> 2
b : 5.6296, 5 -> 3
a : -0.9516, 5 -> 3
d : 9.6412, 6 -> 4
b : 5.5119, 6 -> 3
a : 6.1251, 7 -> 2
c : 5.8378, 7 -> 1
