a : 2.5728, 0 -> 5
b : -8.5597, 0 -> 0
c : -5.5404, 0 -> 4
d : -4.1423, 0 -> 5
a : -8.5477, 1 -> 1
b : 4.1591, 1 -> 0
c : 1.5746, 1 -> 3
d : -7.6664, 1 -> 5
a : 2.1866, 2 -> 3
b : 5.4754, 2 -> 1
c : -6.2399, 2 -> 0
d : 7.1673, 2 -> 5
a : 3.6676, 3 -> 0
b : -4.9779, 3 -> 3
c : 9.8905, 3 -> 0
d : 3.5513, 3 -> 7
a : 4.4909, 4 -> 1
b : -3.7321, 4 -> 0
c : -6.7717, 4 -> 4
d : 0.9004, 4 -> 6
a : -9.7875, 5 -> 7
b : 8.5547, 5 -> 0
c : 1.5412, 5 -> 0
d : -8.7516, 5 -> 2
a : 3.9914, 6 -> 6
b : 0.8836, 6 -> 7
c : -1.2579, 6 -> 3
d : 3.5166, 6 -> 0
a : -7.2987, 7 -> 2
b : -5.6033, 7 -> 3
c : 1.1930, 7 -> 4
d : -7.4897, 7 -> 6
b : 0.7200, 0 -> 6
d : 6.1384, 0 -> 6
d : -8.7887, 1 -> 1
a : -9.8369, 1 -> 3
a : -1.3676, 2 -> 4
a : -8.6161, 2 -> 7
b : 1.1710, 3 -> 3
b : 1.8377, 3 -> 5
b : -3.1743, 4 -> 5
a : 4.6693, 4 -> 7
b : 5.8327, 5 -> 6
c : -1.0443, 5 -> 6
d : 5.2375, 6 -> 3
d : -2.3292, 6 -> 6
d : 1.9366, 7 -> 0
a : 7.8473, 7 -> 4
