a : 4.5999, 0 -> 2
b : 6.7585, 0 -> 4
c : -4.5104, 0 -> 4
d : 3.5257, 0 -> 3
a : 2.3965, 1 -> 0
b : 9.9552, 1 -> 4
c : 2.7583, 1 -> 4
d : -9.2814, 1 -> 4
a : 1.9978, 2 -> 3
b : 4.3445, 2 -> 7
c : 4.8305, 2 -> 0
d : 5.5928, 2 -> 0
a : 7.7295, 3 -> 4
b : -2.1897, 3 -> 5
c : -0.0538, 3 -> 3
d : -2.3443, 3 -> 3
a : 6.2700, 4 -> 7
b : -3.0828, 4 -> 1
c : -6.9942, 4 -> 6
d : 8.7992, 4 -> 4
a : 5.9112, 5 -> 2
b : 1.9142, 5 -> 5
c : 7.9841, 5 -> 5
d : -8.4182, 5 -> 1
a : 4.9804, 6 -> 3
b : 6.9839, 6 -> 0
c : -6.8401, 6 -> 5
d : 4.1282, 6 -> 1
a : 7.7593, 7 -> 3
b : 8.9959, 7 -> 3
c : 5.4426, 7 -> 4
d : -8.0589, 7 -> 6
b : 0.0139, 0 -> 2
a : -6.3954, 0 -> 3
c : 4.2438, 1 -> 4
b : -9.3003, 1 -> 2
a : 0.8669, 2 -> 6
a : 9.3763, 2 -> 3
c : 9.8730, 3 -> 2
a : -4.5893, 3 -> 0
d : -3.6302, 4 -> 7
b : -2.1862, 4 -> 7
c : -8.3730, 5 -> 2
a : -2.2479, 5 -> 2
a : -0.0985, 6 -> 4
b : -4.3197, 6 -> 5
a : 3.2927, 7 -> 5
a : -9.1926, 7 -> 6
