a : -5.7210, 0 -> 0
b : 3.0974, 0 -> 6
c : 0.0483, 0 -> 4
d : -6.1049, 0 -> 7
a : 1.0575, 1 -> 3
b : -5.7571, 1 -> 0
c : -5.4543, 1 -> 2
d : -8.1074, 1 -> 2
a : 4.2600, 2 -> 1
b : 0.6921, 2 -> 1
c : 4.5895, 2 -> 7
d : -1.3015, 2 -> 7
a : -0.8236, 3 -> 7
b : 6.4900, 3 -> 1
c : 0.2943, 3 -> 7
d : 0.1389, 3 -> 4
a : 8.9392, 4 -> 5
b : -9.6346, 4 -> 5
c : 0.4163, 4 -> 4
d : -5.9319, 4 -> 6
a : -2.7058, 5 -> 6
b : -0.0105, 5 -> 4
c : 6.3203, 5 -> 4
d : 6.1166, 5 -> 2
a : 2.5663, 6 -> 3
b : 6.5820, 6 -> 2
c : -9.8365, 6 -> 7
d : 0.6216, 6 -> 4
a : -8.2223, 7 -> 7
b : 3.9234, 7 -> 5
c : 6.5734, 7 -> 0
d : -9.3611, 7 -> 5
d : 6.0401, 0 -> 4
c : 2.7440, 0 -> 2
a : -1.0599, 1 -> 2
d : -0.8423, 1 -> 0
c : 5.0380, 2 -> 6
d : 3.1353, 2 -> 2
b : 5.8862, 3 -> 4
d : -9.2031, 3 -> 4
a : 4.9566, 4 -> 0
d : -3.6452, 4 -> 1
b : 8.9167, 5 -> 3
a : -1.5682, 5 -> 1
d : -4.3872, 6 -> 2
d : 9.4340, 6 -> 3
c : -6.4671, 7 -> 6
a : -1.4049, 7 -> 6
