a : 4.1310, 0 -> 4
b : 7.3625, 0 -> 3
c : 0.1667, 0 -> 2
d : 3.2989, 0 -> 7
a : 6.0521, 1 -> 5
b : -0.9788, 1 -> 4
c : 8.6957, 1 -> 4
d : 0.0000, 1 -> 2
a : -9.4038, 2 -> 7
b : 6.2915, 2 -> 2
c : -7.8234, 2 -> 2
d : -8.6881, 2 -> 6
a : -4.4860, 3 -> 7
b : 4.1713, 3 -> 1
c : -5.5703, 3 -> 1
d : -7.1673, 3 -> 5
a : -8.1070, 4 -> 0
b : -8.2851, 4 -> 0
c : 4.6966, 4 -> 2
d : -6.9530, 4 -> 1
a : -0.8774, 5 -> 7
b : -5.3255, 5 -> 2
c : -4.9316, 5 -> 1
d : -4.0341, 5 -> 5
a : 4.9655, 6 -> 1
b : -0.0055, 6 -> 3
c : -6.4702, 6 -> 4
d : 3.1033, 6 -> 7
a : 3.3118, 7 -> 7
b : 9.0679, 7 -> 2
c : 0.5527, 7 -> 0
d : -7.8846, 7 -> 1
b : 4.7291, 0 -> 2
a : 4.8148, 0 -> 2
c : 8.7242, 1 -> 3
a : -8.9031, 1 -> 1
a : -4.5943, 2 -> 0
d : 6.5379, 2 -> 4
c : 7.9198, 3 -> 3
b : 9.9776, 3 -> 2
c : -7.9206, 4 -> 6
d : -2.8168, 4 -> 7
c : 4.6282, 5 -> 7
b : 3.1072, 5 -> 1
d : 2.9210, 6 -> 5
c : 5.3981, 6 -> 7
c : -9.6899, 7 -> 4
b : -7.5889, 7 -> 6
