a : -4.7807, 0 -> 3
b : 3.1139, 0 -> 7
c : -8.8108, 0 -> 4
d : 0.4434, 0 -> 0
a : 4.0356, 1 -> 1
b : 6.4879, 1 -> 6
c : 7.7842, 1 -> 1
d : 4.5197, 1 -> 2
a : -8.2269, 2 -> 2
b : -0.3530, 2 -> 3
c : -8.1416, 2 -> 3
d : -6.2320, 2 -> 0
a : -0.1858, 3 -> 0
b : 6.6837, 3 -> 2
c : -3.6263, 3 -> 3
d : -5.2550, 3 -> 3
a : -6.1963, 4 -> 1
b : 3.5140, 4 -> 4
c : 3.0638, 4 -> 2
d : 0.1730, 4 -> 0
a : -6.9851, 5 -> 4
b : 6.7926, 5 -> 4
c : 2.1873, 5 -> 6
d : 7.4937, 5 -> 2
a : -8.7615, 6 -> 5
b : -4.2895, 6 -> 3
c : 0.4521, 6 -> 1
d : 1.4181, 6 -> 6
a : 8.3220, 7 -> 5
b : -7.7750, 7 -> 4
c : 6.1875, 7 -> 6
d : -8.2306, 7 -> 4
b : -9.9256, 0 -> 0
c : -8.7640, 0 -> 5
a : -2.8537, 1 -> 7
b : -7.0418, 1 -> 5
b : 7.0995, 2 -> 3
c : -5.5422, 2 -> 7
b : 8.7613, 3 -> 6
b : 6.7659, 3 -> 7
a : -6.4056, 4 -> 7
b : 8.5198, 4 -> 7
c : -5.0574, 5 -> 3
d : -5.1116, 5 -> 0
a : -0.8936, 6 -> 0
a : -8.7902, 6 -> 5
d : -7.2895, 7 -> 7
b : 6.5601, 7 -> 7
