a : 8.0112, 0 -> 6
b : -6.7816, 0 -> 7
c : -2.9311, 0 -> 2
d : -9.4246, 0 -> 5
a : -8.6724, 1 -> 1
b : -0.8409, 1 -> 6
c : 1.2284, 1 -> 7
d : 9.9997, 1 -> 6
a : 4.3176, 2 -> 0
b : 7.3642, 2 -> 1
c : -4.1662, 2 -> 5
d : 2.3047, 2 -> 1
a : 8.8888, 3 -> 6
b : 7.5933, 3 -> 5
c : -3.1342, 3 -> 7
d : -5.7838, 3 -> 0
a : 0.7391, 4 -> 0
b : 1.9153, 4 -> 3
c : -7.2097, 4 -> 2
d : -5.1184, 4 -> 5
a : -9.4761, 5 -> 6
b : 4.1710, 5 -> 0
c : 4.7435, 5 -> 4
d : -4.8267, 5 -> 5
a : -9.9922, 6 -> 6
b : -0.4893, 6 -> 7
c : -1.7127, 6 -> 3
d : 8.0068, 6 -> 2
a : -0.4493, 7 -> 2
b : 9.1813, 7 -> 3
c : -6.5486, 7 -> 3
d : 6.1096, 7 -> 7
b : -6.9717, 0 -> 6
c : -7.9018, 0 -> 3
b : 9.8619, 1 -> 0
a : -3.2827, 1 -> 3
d : 9.0528, 2 -> 2
d : 3.8231, 2 -> 4
a : -9.1066, 3 -> 5
a : -5.6496, 3 -> 3
a : -1.7484, 4 -> 2
a : 9.3810, 4 -> 5
b : 6.9949, 5 -> 0
c : -6.6736, 5 -> 4
b : 7.3760, 6 -> 2
b : 3.1979, 6 -> 3
d : -7.4600, 7 -> 3
c : 8.9959, 7 -> 3
