a : -2.8552, 0 -> 3
b : 2.6702, 0 -> 0
c : 8.4054, 0 -> 4
d : 4.6136, 0 -> 3
a : -9.1906, 1 -> 3
b : -4.9112, 1 -> 1
c : -6.4140, 1 -> 4
d : -9.5321, 1 -> 5
a : -0.9470, 2 -> 3
b : -0.4434, 2 -> 6
c : 9.1346, 2 -> 7
d : -5.0552, 2 -> 1
a : 1.2298, 3 -> 1
b : 5.9771, 3 -> 4
c : -0.6415, 3 -> 0
d : 5.7806, 3 -> 7
a : -9.4871, 4 -> 2
b : -5.5441, 4 -> 5
c : -4.0617, 4 -> 0
d : 3.5424, 4 -> 5
a : 1.0001, 5 -> 6
b : -8.4990, 5 -> 5
c : 1.9629, 5 -> 5
d : 8.4205, 5 -> 5
a : -6.7772, 6 -> 1
b : -5.0809, 6 -> 7
c : -9.0123, 6 -> 0
d : 0.2779, 6 -> 7
a : 6.4125, 7 -> 6
b : -3.3347, 7 -> 2
c : 0.6871, 7 -> 0
d : 8.9966, 7 -> 0
d : 4.5602, 0 -> 4
c : 9.5929, 0 -> 7
a : 2.1723, 1 -> 7
b : -6.3490, 1 -> 6
b : 7.8067, 2 -> 7
d : 0.3675, 2 -> 1
c : -1.8760, 3 -> 5
a : 1.7743, 3 -> 7
b : 5.1079, 4 -> 6
d : -3.8134, 4 -> 3
d : -4.8401, 5 -> 5
a : 8.8765, 5 -> 3
a : 0.8419, 6 -> 2
a : 2.5332, 6 -> 1
b : 3.9308, 7 -> 7
a : -8.5561, 7 -> 3
