a : 7.2802, 0 -> 4
b : 5.6474, 0 -> 0
c : 4.9702, 0 -> 5
d : 8.6914, 0 -> 2
a : 9.7667, 1 -> 6
b : -7.7037, 1 -> 1
c : -7.0929, 1 -> 5
d : 2.9560, 1 -> 1
a : 7.9512, 2 -> 4
b : -6.5813, 2 -> 3
c : -2.7610, 2 -> 1
d : -7.6905, 2 -> 4
a : 4.0003, 3 -> 5
b : -7.7242, 3 -> 2
c : -3.9126, 3 -> 4
d : 7.3792, 3 -> 6
a : 2.1616, 4 -> 1
b : -4.5913, 4 -> 5
c : 4.8334, 4 -> 6
d : 6.6388, 4 -> 1
a : 9.7653, 5 -> 0
b : -1.5298, 5 -> 2
c : -4.1913, 5 -> 2
d : 3.3309, 5 -> 1
a : 8.0459, 6 -> 7
b : 6.3298, 6 -> 5
c : -7.5988, 6 -> 4
d : 8.6952, 6 -> 4
a : -9.0567, 7 -> 3
b : -1.5784, 7 -> 1
c : -4.6956, 7 -> 0
d : 0.2737, 7 -> 6
a : 5.2996, 0 -> 7
b : -8.2566, 0 -> 4
c : -1.1648, 1 -> 1
c : 6.8414, 1 -> 1
a : 1.0145, 2 -> 5
d : -0.6866, 2 -> 6
b : -8.9518, 3 -> 5
c : -8.9164, 3 -> 6
c : -1.2465, 4 -> 1
a : -7.3989, 4 -> 5
c : 7.5595, 5 -> 0
d : 1.2195, 5 -> 4
c : 4.2917, 6 -> 1
b : -8.5686, 6 -> 1
c : -0.5461, 7 -> 4
c : 9.3497, 7 -> 7
