a : 4.2371, 0 -> 5
b : -4.1427, 0 -> 6
c : -4.9520, 0 -> 6
d : -8.2461, 0 -> 2
a : 8.1692, 1 -> 3
b : -0.8940, 1 -> 3
c : 9.6724, 1 -> 2
d : -9.2952, 1 -> 0
a : 0.5800, 2 -> 7
b : -7.4404, 2 -> 4
c : 4.9146, 2 -> 6
d : -2.3047, 2 -> 0
a : -7.7187, 3 -> 1
b : 7.0442, 3 -> 5
c : -6.7420, 3 -> 0
d : 6.8024, 3 -> 5
a : -0.9909, 4 -> 5
b : -9.5195, 4 -> 0
c : -4.6793, 4 -> 0
d : 0.4658, 4 -> 6
a : 4.2819, 5 -> 7
b : 6.4666, 5 -> 1
c : -5.3250, 5 -> 4
d : -9.3702, 5 -> 2
a : -0.4557, 6 -> 3
b : -4.2720, 6 -> 0
c : 4.4446, 6 -> 5
d : 9.5510, 6 -> 0
a : 8.5216, 7 -> 3
b : -5.0873, 7 -> 2
c : -9.1555, 7 -> 5
d : -5.1859, 7 -> 2
c : -6.2669, 0 -> 0
c : -8.0667, 0 -> 5
d : 2.9996, 1 -> 1
a : 4.4475, 1 -> 7
b : -4.8532, 2 -> 2
b : -6.4741, 2 -> 6
b : 1.2243, 3 -> 5
a : -5.4828, 3 -> 5
c : -3.1062, 4 -> 5
b : 2.4146, 4 -> 3
c : 2.5015, 5 -> 6
c : 7.5412, 5 -> 6
b : 3.8468, 6 -> 6
c : -7.5255, 6 -> 1
a : 1.9266, 7 -> 1
b : 1.0581, 7 -> 4
