a : 6.1448, 0 -> 7
b : 1.0213, 0 -> 2
c : -4.0005, 0 -> 7
d : -3.4591, 0 -> 7
a : -7.7796, 1 -> 2
b : -6.3573, 1 -> 6
c : 4.9097, 1 -> 2
d : -8.3875, 1 -> 6
a : -0.1007, 2 -> 0
b : -9.7615, 2 -> 5
c : 2.7290, 2 -> 5
d : 1.1163, 2 -> 0
a : 9.8020, 3 -> 6
b : -3.5672, 3 -> 5
c : 9.1252, 3 -> 7
d : 2.8108, 3 -> 1
a : 4.2629, 4 -> 0
b : -1.6891, 4 -> 1
c : -8.4567, 4 -> 7
d : -1.0558, 4 -> 6
a : -8.2146, 5 -> 4
b : 3.4176, 5 -> 3
c : 7.0901, 5 -> 4
d : 2.4998, 5 -> 0
a : 4.1994, 6 -> 2
b : -6.8387, 6 -> 7
c : 7.9275, 6 -> 3
d : 4.8848, 6 -> 7
a : 2.6210, 7 -> 4
b : -9.7706, 7 -> 6
c : -8.7571, 7 -> 3
d : 5.5849, 7 -> 2
b : 0.1838, 0 -> 4
d : 6.1118, 0 -> 2
d : 4.0044, 1 -> 5
a : -3.1790, 1 -> 2
c : 9.2055, 2 -> 6
b : -1.6598, 2 -> 3
b : -7.3761, 3 -> 1
a : 3.5300, 3 -> 7
c : 3.9531, 4 -> 4
a : -5.0905, 4 -> 6
b : 5.2116, 5 -> 0
d : -3.6877, 5 -> 2
c : 0.4228, 6 -> 4
c : -7.6420, 6 -> 7
b : 6.7070, 7 -> 6
a : -4.3827, 7 -> 1
