a : -5.7553, 0 -> 0
b : 7.1488, 0 -> 6
c : 6.3118, 0 -> 6
d : 7.9630, 0 -> 5
a : 2.7664, 1 -> 2
b : 0.6394, 1 -> 0
c : 1.3715, 1 -> 6
d : -5.6817, 1 -> 5
a : 3.7541, 2 -> 7
b : -5.1786, 2 -> 7
c : -1.1287, 2 -> 0
d : 3.7784, 2 -> 4
a : -3.1217, 3 -> 6
b : -2.1247, 3 -> 6
c : 9.1328, 3 -> 2
d : -6.7951, 3 -> 4
a : 7.2670, 4 -> 0
b : -9.3382, 4 -> 3
c : 6.2633, 4 -> 2
d : -8.5079, 4 -> 1
a : -4.1745, 5 -> 0
b : -2.8980, 5 -> 3
c : 0.3046, 5 -> 1
d : 1.1287, 5 -> 3
a : -5.9745, 6 -> 5
b : -7.7984, 6 -> 7
c : -3.9752, 6 -> 3
d : 6.4209, 6 -> 6
a : -3.7704, 7 -> 0
b : -8.6259, 7 -> 4
c : -0.4006, 7 -> 2
d : 4.9704, 7 -> 3
c : -2.5979, 0 -> 3
a : 0.5747, 0 -> 6
a : 1.3654, 1 -> 6
d : -3.7647, 1 -> 3
a : 8.6774, 2 -> 1
a : 3.0988, 2 -> 5
b : -5.5853, 3 -> 7
a : 8.9285, 3 -> 4
b : 8.4118, 4 -> 4
b : 4.2726, 4 -> 3
d : 4.4759, 5 -> 3
b : 4.6987, 5 -> 5
d : 2.5728, 6 -> 3
c : 3.4677, 6 -> 3
d : -7.0063, 7 -> 3
b : 2.4918, 7 -> 5
