a : 0.5373, 0 -> 5
b : 8.7902, 0 -> 3
c : -5.1691, 0 -> 2
d : -1.8713, 0 -> 2
a : 9.3647, 1 -> 7
b : 7.6605, 1 -> 7
c : 1.4305, 1 -> 0
d : -4.3326, 1 -> 6
a : 2.7103, 2 -> 6
b : 4.9598, 2 -> 0
c : 8.4346, 2 -> 3
d : -0.9324, 2 -> 7
a : 7.6284, 3 -> 1
b : -7.3151, 3 -> 3
c : 1.3794, 3 -> 0
d : -8.4515, 3 -> 1
a : 9.2990, 4 -> 6
b : -2.2087, 4 -> 1
c : -3.2279, 4 -> 4
d : -3.6398, 4 -> 5
a : 9.6920, 5 -> 1
b : 8.9729, 5 -> 2
c : -2.3267, 5 -> 7
d : -8.3395, 5 -> 2
a : -3.7716, 6 -> 2
b : 4.5976, 6 -> 5
c : -2.9518, 6 -> 1
d : 0.8964, 6 -> 1
a : 9.5443, 7 -> 0
b : -6.0085, 7 -> 1
c : 2.1333, 7 -> 2
d : 3.8463, 7 -> 6
b : -9.3822, 0 -> 3
b : 5.5623, 0 -> 0
c : -2.4854, 1 -> 3
b : -1.6982, 1 -> 4
b : 8.0222, 2 -> 2
b : -0.1354, 2 -> 1
a : -1.4839, 3 -> 0
a : 5.5855, 3 -> 2
c : -1.6225, 4 -> 4
c : 1.3902, 4 -> 7
a : 1.2332, 5 -> 3
c : -8.0661, 5 -> 7
a : -6.6738, 6 -> 7
a : 4.7952, 6 -> 7
d : 8.6053, 7 -> 3
a : -9.8204, 7 -> 0
