a : 9.6543, 0 -> 3
b : 5.7805, 0 -> 1
c : -5.5587, 0 -> 0
d : -4.9711, 0 -> 2
a : -3.7042, 1 -> 2
b : 9.9444, 1 -> 4
c : 6.6381, 1 -> 7
d : -7.1574, 1 -> 6
a : 6.3754, 2 -> 0
b : 1.3199, 2 -> 5
c : -4.6350, 2 -> 5
d : 6.5613, 2 -> 7
a : -9.1914, 3 -> 7
b : 1.6176, 3 -> 1
c : -6.5089, 3 -> 0
d : 0.7356, 3 -> 6
a : -2.0367, 4 -> 1
b : 1.2700, 4 -> 2
c : -3.9339, 4 -> 3
d : 5.3140, 4 -> 6
a : -5.6279, 5 -> 3
b : 6.1740, 5 -> 4
c : 6.3185, 5 -> 7
d : 7.4985, 5 -> 3
a : -7.5623, 6 -> 1
b : 6.4682, 6 -> 7
c : 2.0926, 6 -> 7
d : 4.1862, 6 -> 2
a : 2.8421, 7 -> 4
b : 9.2833, 7 -> 2
c : -2.3811, 7 -> 7
d : -8.5442, 7 -> 6
a : -1.0605, 0 -> 1
d : -7.2819, 0 -> 5
d : -1.1243, 1 -> 4
a : -7.9572, 1 -> 5
a : 1.5453, 2 -> 3
d : 3.9955, 2 -> 3
d : 2.0220, 3 -> 4
b : -7.2143, 3 -> 1
b : -1.0708, 4 -> 6
b : -5.7509, 4 -> 5
a : -4.1623, 5 -> 5
c : 7.0395, 5 -> 3
c : -1.4003, 6 -> 4
d : 1.7788, 6 -> 7
b : 4.8258, 7 -> 3
d : 3.4946, 7 -> 3
