a : -5.6339, 0 -> 3
b : -0.2195, 0 -> 2
a : 3.0850, 1 -> 6
b : -8.4843, 1 -> 1
a : 1.2260, 2 -> 7
b : -9.4103, 2 -> 7
a : 3.8876, 3 -> 0
b : 5.2195, 3 -> 3
a : 2.2988, 4 -> 3
b : -5.9084, 4 -> 3
a : 0.2573, 5 -> 7
b : 6.9109, 5 -> 0
a : -4.4291, 6 -> 0
b : 6.2015, 6 -> 3
a : 5.4704, 7 -> 0
b : 2.8456, 7 -> 6
b : -3.2807, 0 -> 2
a : 1.2337, 1 -> 1
b : -4.3589, 2 -> 7
b : 4.8428, 3 -> 6
a : 0.9695, 4 -> 7
b : -0.5263, 5 -> 5
b : 4.7041, 6 -> 5
a : -0.7101, 7 -> 6
a : 1.7699, 5 -> 4
b : -0.5602, 3 -> 1
