a : -3.1406, 0 -> 2
b : 7.6942, 0 -> 7
c : 8.2130, 0 -> 6
d : -8.6895, 0 -> 6
a : -6.2498, 1 -> 1
b : -0.2285, 1 -> 5
c : 5.8585, 1 -> 7
d : -2.2169, 1 -> 1
a : -1.2031, 2 -> 2
b : 7.4970, 2 -> 1
c : 9.6368, 2 -> 0
d : 2.5407, 2 -> 0
a : 8.4145, 3 -> 2
b : 4.5697, 3 -> 1
c : 2.4289, 3 -> 2
d : 5.1990, 3 -> 3
a : 0.5704, 4 -> 6
b : -9.5326, 4 -> 5
c : 5.6863, 4 -> 2
d : 5.6909, 4 -> 7
a : 0.7962, 5 -> 4
b : 2.7396, 5 -> 0
c : -3.2842, 5 -> 2
d : 4.1307, 5 -> 4
a : 2.3370, 6 -> 5
b : -8.3101, 6 -> 3
c : 1.1138, 6 -> 1
d : 3.1300, 6 -> 6
a : -7.8103, 7 -> 0
b : -6.7943, 7 -> 6
c : 4.9730, 7 -> 1
d : 3.5133, 7 -> 0
a : -4.0468, 0 -> 6
d : -5.8998, 0 -> 0
d : -2.3567, 1 -> 5
a : -2.5804, 1 -> 2
d : -4.9645, 2 -> 1
b : 0.7798, 2 -> 3
d : -8.8865, 3 -> 2
a : 1.1279, 3 -> 1
b : 8.4392, 4 -> 3
c : -1.8364, 4 -> 7
d : 4.8397, 5 -> 0
d : -5.9986, 5 -> 3
c : -0.9227, 6 -> 5
c : 1.1113, 6 -> 0
b : 3.7827, 7 -> 2
a : 0.5582, 7 -> 0
