a : -5.9248, 0 -> 4
b : -1.8731, 0 -> 6
c : -9.1692, 0 -> 0
d : -8.4042, 0 -> 5
a : 9.0944, 1 -> 7
b : -7.8533, 1 -> 4
c : -9.8018, 1 -> 4
d : -3.8016, 1 -> 1
a : 8.1843, 2 -> 2
b : 6.3266, 2 -> 6
c : -9.8822, 2 -> 4
d : 1.2377, 2 -> 3
a : -7.4632, 3 -> 6
b : -2.3247, 3 -> 4
c : -2.0846, 3 -> 5
d : 6.6743, 3 -> 0
a : 0.7657, 4 -> 1
b : 5.3259, 4 -> 7
c : -8.4719, 4 -> 1
d : 0.4805, 4 -> 7
a : -1.1507, 5 -> 7
b : -8.4197, 5 -> 1
c : -6.6547, 5 -> 7
d : 1.3911, 5 -> 5
a : -0.1468, 6 -> 7
b : -3.0102, 6 -> 0
c : 8.3124, 6 -> 0
d : -8.2433, 6 -> 5
a : -4.8163, 7 -> 5
b : -9.7682, 7 -> 1
c : 0.8700, 7 -> 3
d : 4.0854, 7 -> 3
d : 3.0453, 0 -> 6
a : -9.5066, 0 -> 0
b : 2.7491, 1 -> 5
a : 1.2935, 1 -> 1
a : -3.3310, 2 -> 7
c : -3.9360, 2 -> 4
c : -6.9318, 3 -> 1
b : -2.7946, 3 -> 7
c : 4.8961, 4 -> 2
a : 8.3952, 4 -> 6
c : -4.4634, 5 -> 4
c : -8.7285, 5 -> 2
a : 3.5299, 6 -> 6
b : 5.7833, 6 -> 7
a : -3.3852, 7 -> 5
c : 7.2153, 7 -> 4
