a : -8.6092, 0 -> 4
b : 1.1320, 0 -> 5
c : 9.6304, 0 -> 5
d : -3.1082, 0 -> 4
a : -7.6194, 1 -> 1
b : 6.3231, 1 -> 5
c : -1.1614, 1 -> 5
d : 0.8723, 1 -> 5
a : 2.0361, 2 -> 3
b : 7.0240, 2 -> 7
c : -7.9474, 2 -> 5
d : 8.9226, 2 -> 2
a : -8.7136, 3 -> 5
b : 3.6212, 3 -> 6
c : 5.9668, 3 -> 6
d : 3.5979, 3 -> 3
a : 5.5618, 4 -> 0
b : 7.1968, 4 -> 2
c : -1.4773, 4 -> 2
d : -9.9347, 4 -> 0
a : -4.3432, 5 -> 2
b : -5.7066, 5 -> 0
c : -6.1237, 5 -> 2
d : -7.6132, 5 -> 3
a : -4.4942, 6 -> 2
b : 6.6273, 6 -> 1
c : 3.8945, 6 -> 6
d : -3.0877, 6 -> 3
a : -1.1908, 7 -> 1
b : -3.8275, 7 -> 3
c : 1.0897, 7 -> 3
d : 0.8478, 7 -> 4
d : 5.6239, 0 -> 0
c : -0.2445, 0 -> 3
d : 6.8749, 1 -> 5
c : -4.3618, 1 -> 7
c : 3.1206, 2 -> 1
d : 1.7954, 2 -> 7
b : 3.7699, 3 -> 4
c : 6.8688, 3 -> 0
c : 1.8885, 4 -> 0
b : 7.6513, 4 -> 6
c : 9.3244, 5 -> 3
b : 5.2515, 5 -> 2
d : -8.8097, 6 -> 6
b : -3.5226, 6 -> 0
d : -1.2299, 7 -> 0
d : -2.2389, 7 -> 4
