a : -8.8016, 0 -> 2
b : 6.7123, 0 -> 2
c : -9.4430, 0 -> 3
d : 2.9994, 0 -> 3
a : 2.6577, 1 -> 2
b : 0.0984, 1 -> 2
c : 9.4262, 1 -> 0
d : -3.9035, 1 -> 2
a : 8.9353, 2 -> 4
b : 0.6269, 2 -> 0
c : -1.2983, 2 -> 2
d : 4.4236, 2 -> 1
a : 0.8829, 3 -> 4
b : -4.1696, 3 -> 3
c : 6.5899, 3 -> 5
d : 2.2189, 3 -> 2
a : -1.7842, 4 -> 0
b : 9.5392, 4 -> 2
c : -6.1153, 4 -> 0
d : -0.7685, 4 -> 2
a : 1.9803, 5 -> 6
b : 2.5579, 5 -> 7
c : -7.7834, 5 -> 7
d : 3.8994, 5 -> 1
a : -7.9098, 6 -> 1
b : 8.5529, 6 -> 1
c : -3.7359, 6 -> 3
d : -4.3887, 6 -> 4
a : 8.7176, 7 -> 6
b : 9.8400, 7 -> 1
c : -6.3297, 7 -> 3
d : 2.8980, 7 -> 3
d : -2.4718, 0 -> 3
b : 0.9633, 0 -> 2
c : -1.0666, 1 -> 2
c : 6.7707, 1 -> 7
c : 0.6710, 2 -> 2
a : 8.4116, 2 -> 5
a : -8.0072, 3 -> 0
c : -0.4412, 3 -> 4
a : 6.6170, 4 -> 0
c : 6.1088, 4 -> 1
d : 1.0388, 5 -> 7
b : 6.8822, 5 -> 6
d : -8.2713, 6 -> 7
a : -9.8967, 6 -> 3
d : 1.6400, 7 -> 7
d : 8.9713, 7 -> 3
