a : 8.5813, 0 -> 5
b : 6.3432, 0 -> 7
c : 6.3754, 0 -> 3
d : -6.9022, 0 -> 6
a : 0.3373, 1 -> 6
b : 3.1323, 1 -> 6
c : 4.9939, 1 -> 6
d : -4.5210, 1 -> 1
a : 7.2015, 2 -> 2
b : 9.4259, 2 -> 6
c : 3.1213, 2 -> 7
d : -9.7592, 2 -> 1
a : -4.1402, 3 -> 6
b : -1.0172, 3 -> 1
c : 3.1965, 3 -> 5
d : -6.3803, 3 -> 1
a : 3.5224, 4 -> 3
b : -2.9198, 4 -> 2
c : 6.8925, 4 -> 1
d : -3.9428, 4 -> 4
a : 7.8031, 5 -> 7
b : 8.5583, 5 -> 5
c : -7.9462, 5 -> 4
d : 0.7311, 5 -> 0
a : 1.3949, 6 -> 6
b : 3.4162, 6 -> 5
c : 2.4878, 6 -> 0
d : -9.5103, 6 -> 4
a : -8.5812, 7 -> 1
b : -1.0312, 7 -> 5
c : 7.7647, 7 -> 0
d : 5.8648, 7 -> 0
a : 9.5472, 0 -> 6
b : -2.5987, 0 -> 1
a : 3.9451, 1 -> 0
b : -6.4140, 1 -> 2
a : 1.7859, 2 -> 6
c : -5.9761, 2 -> 3
c : 2.1730, 3 -> 4
c : 2.1392, 3 -> 6
b : 5.9258, 4 -> 4
b : -2.7476, 4 -> 3
c : 6.6485, 5 -> 3
a : -2.0118, 5 -> 3
a : 4.3002, 6 -> 1
d : -3.4605, 6 -> 7
b : 2.4471, 7 -> 5
b : -7.8432, 7 -> 1
