a : -0.6195, 0 -> 4
b : -1.3492, 0 -> 6
c : -7.6939, 0 -> 0
d : 2.9729, 0 -> 3
a : 5.9744, 1 -> 0
b : 2.1642, 1 -> 4
c : 6.1111, 1 -> 5
d : -5.3707, 1 -> 4
a : 1.6136, 2 -> 6
b : -8.5739, 2 -> 5
c : 4.9301, 2 -> 4
d : -5.4714, 2 -> 2
a : 7.0288, 3 -> 2
b : -7.9410, 3 -> 1
c : -3.4315, 3 -> 3
d : 6.4943, 3 -> 2
a : -4.6116, 4 -> 2
b : 3.4451, 4 -> 2
c : 3.9478, 4 -> 7
d : -5.2842, 4 -> 7
a : -1.7901, 5 -> 5
b : -0.6004, 5 -> 7
c : -8.3592, 5 -> 4
d : 7.5010, 5 -> 4
a : -5.3596, 6 -> 5
b : -7.6272, 6 -> 3
c : -4.5325, 6 -> 1
d : -6.1992, 6 -> 6
a : 7.2548, 7 -> 0
b : 7.2261, 7 -> 7
c : 8.6578, 7 -> 2
d : 6.0346, 7 -> 3
c : -4.6233, 0 -> 7
a : 9.3287, 0 -> 1
d : 2.2148, 1 -> 6
c : 9.6014, 1 -> 6
a : 9.2458, 2 -> 4
b : 7.8931, 2 -> 3
c : -8.0692, 3 -> 1
d : -5.2138, 3 -> 3
d : 4.8122, 4 -> 2
d : 5.5522, 4 -> 5
b : -5.1408, 5 -> 3
c : -0.3926, 5 -> 3
c : -0.6133, 6 -> 2
a : 2.8159, 6 -> 2
d : -9.0438, 7 -> 2
c : 3.6789, 7 -> 6
