a : 1.8524, 0 -> 2
b : -5.4646, 0 -> 5
c : -3.6485, 0 -> 7
d : -0.0746, 0 -> 2
a : -3.7012, 1 -> 0
b : 9.6770, 1 -> 4
c : -4.8802, 1 -> 2
d : 8.9417, 1 -> 6
a : 7.6614, 2 -> 1
b : -5.6989, 2 -> 4
c : 7.2131, 2 -> 4
d : 9.8112, 2 -> 5
a : 0.2271, 3 -> 7
b : 5.7754, 3 -> 5
c : 4.1269, 3 -> 2
d : 7.4737, 3 -> 5
a : 0.5612, 4 -> 0
b : 4.6649, 4 -> 3
c : 4.4163, 4 -> 4
d : 3.6424, 4 -> 2
a : 4.3125, 5 -> 6
b : -1.0188, 5 -> 5
c : -3.3931, 5 -> 0
d : 3.4350, 5 -> 6
a : -8.5376, 6 -> 6
b : 1.7963, 6 -> 6
c : -0.1905, 6 -> 3
d : -6.3286, 6 -> 1
a : 4.5503, 7 -> 0
b : 3.5590, 7 -> 3
c : 7.5274, 7 -> 1
d : -8.0409, 7 -> 7
d : -9.5322, 0 -> 0
d : 8.4490, 0 -> 5
b : -2.9995, 1 -> 6
c : -2.6413, 1 -> 6
b : 3.5158, 2 -> 1
d : -8.2920, 2 -> 0
d : -4.6177, 3 -> 0
a : 0.9759, 3 -> 7
b : 1.7326, 4 -> 0
a : 5.9706, 4 -> 4
d : 7.8284, 5 -> 0
a : 9.3101, 5 -> 1
c : 7.9086, 6 -> 0
b : 2.3341, 6 -> 5
c : -0.5495, 7 -> 3
d : -5.4214, 7 -> 1
