a : 6.8161, 0 -> 2
b : -6.8134, 0 -> 2
c : 9.5053, 0 -> 2
d : -0.7549, 0 -> 3
a : 3.3257, 1 -> 2
b : -1.2005, 1 -> 5
c : 1.1953, 1 -> 6
d : -6.8557, 1 -> 0
a : 4.5283, 2 -> 1
b : 1.6613, 2 -> 1
c : 4.8769, 2 -> 5
d : 1.7652, 2 -> 1
a : -0.5614, 3 -> 6
b : -7.5360, 3 -> 3
c : -7.4692, 3 -> 0
d : 0.4189, 3 -> 7
a : -6.5451, 4 -> 7
b : -7.4432, 4 -> 4
c : 5.2712, 4 -> 7
d : -9.6406, 4 -> 0
a : -9.3947, 5 -> 1
b : -3.3532, 5 -> 0
c : -6.2457, 5 -> 2
d : -5.9012, 5 -> 3
a : 4.6197, 6 -> 5
b : 3.2944, 6 -> 2
c : -2.4003, 6 -> 1
d : -5.0708, 6 -> 5
a : -6.4804, 7 -> 7
b : -6.8612, 7 -> 1
c : 9.6776, 7 -> 7
d : 7.4728, 7 -> 5
a : 8.4360, 0 -> 3
d : 0.3540, 0 -> 4
c : 4.0631, 1 -> 3
d : 9.4315, 1 -> 6
d : 1.1526, 2 -> 6
c : -6.8407, 2 -> 7
a : -8.8740, 3 -> 3
d : -2.2322, 3 -> 6
d : 5.3113, 4 -> 0
a : 9.7349, 4 -> 1
b : -0.6536, 5 -> 6
c : 7.8191, 5 -> 2
a : 3.5105, 6 -> 2
d : 1.6416, 6 -> 1
c : -7.2689, 7 -> 0
a : 6.8939, 7 -> 7
