a : 0.8817, 0 -> 3
b : 3.5823, 0 -> 2
c : 3.8519, 0 -> 2
d : -3.7104, 0 -> 5
a : 1.5859, 1 -> 6
b : -1.4759, 1 -> 0
c : 8.8968, 1 -> 1
d : -0.5087, 1 -> 7
a : 7.1816, 2 -> 7
b : 2.3342, 2 -> 6
c : 7.7539, 2 -> 0
d : -5.7716, 2 -> 0
a : -9.2663, 3 -> 2
b : -7.7565, 3 -> 4
c : -3.0762, 3 -> 4
d : -2.4498, 3 -> 6
a : 5.8951, 4 -> 7
b : 3.5037, 4 -> 0
c : -7.9619, 4 -> 0
d : -1.5458, 4 -> 2
a : -4.3149, 5 -> 5
b : -7.8723, 5 -> 2
c : 1.0193, 5 -> 1
d : 9.1732, 5 -> 0
a : 1.3282, 6 -> 7
b : -4.1453, 6 -> 5
c : 0.8293, 6 -> 5
d : -8.1906, 6 -> 1
a : -9.9797, 7 -> 2
b : -7.2187, 7 -> 2
c : 0.1078, 7 -> 4
d : -4.4905, 7 -> 4
b : 7.8597, 0 -> 1
b : -0.5984, 0 -> 3
c : -6.2566, 1 -> 3
b : -5.0172, 1 -> 6
c : 4.8298, 2 -> 4
c : -9.0979, 2 -> 7
a : -8.8899, 3 -> 1
c : -5.3326, 3 -> 5
c : 5.8149, 4 -> 1
c : -6.7065, 4 -> 1
b : 8.2027, 5 -> 7
c : -2.9448, 5 -> 5
d : -4.4695, 6 -> 0
a : 8.4062, 6 -> 1
d : 2.3500, 7 -> 4
b : -2.9864, 7 -> 3
