a : -2.3515, 0 -> 1
b : 9.6883, 0 -> 5
c : 6.6489, 0 -> 2
d : 3.2597, 0 -> 7
a : 5.0592, 1 -> 5
b : -8.5489, 1 -> 2
c : -9.3543, 1 -> 4
d : -4.7614, 1 -> 6
a : -5.6027, 2 -> 3
b : -1.7777, 2 -> 2
c : 1.4748, 2 -> 2
d : 5.3088, 2 -> 3
a : 9.2153, 3 -> 2
b : -3.6387, 3 -> 7
c : 2.9182, 3 -> 3
d : 5.0613, 3 -> 4
a : -3.9350, 4 -> 4
b : -7.9048, 4 -> 4
c : 3.1000, 4 -> 3
d : -3.7811, 4 -> 1
a : 7.8299, 5 -> 7
b : -6.7750, 5 -> 1
c : 2.6399, 5 -> 4
d : -4.3890, 5 -> 0
a : 0.1053, 6 -> 3
b : -8.1896, 6 -> 1
c : -3.8178, 6 -> 6
d : -4.3364, 6 -> 2
a : -3.3544, 7 -> 4
b : 8.9315, 7 -> 5
c : -4.7186, 7 -> 6
d : -7.6088, 7 -> 7
a : -7.7231, 0 -> 1
c : -9.6954, 0 -> 1
b : -2.7027, 1 -> 0
a : 4.7668, 1 -> 2
b : -7.2723, 2 -> 5
b : -3.6952, 2 -> 3
c : 2.2992, 3 -> 6
d : 1.4817, 3 -> 5
c : 2.1984, 4 -> 4
c : 2.9896, 4 -> 0
a : 8.3531, 5 -> 3
d : 2.6377, 5 -> 7
d : -5.6816, 6 -> 2
c : 1.6457, 6 -> 6
a : 4.9820, 7 -> 1
b : -2.0625, 7 -> 0
