a : -6.6482, 0 -> 5
b : -5.9788, 0 -> 2
c : -8.5436, 0 -> 4
d : -2.5330, 0 -> 0
a : -2.9844, 1 -> 5
b : 1.2521, 1 -> 3
c : -3.4309, 1 -> 6
d : -7.7053, 1 -> 0
a : 4.5801, 2 -> 5
b : -5.2242, 2 -> 3
c : -1.2373, 2 -> 5
d : 5.3086, 2 -> 0
a : 9.8905, 3 -> 7
b : 7.1516, 3 -> 4
c : 2.3135, 3 -> 6
d : 7.7216, 3 -> 3
a : 9.0079, 4 -> 7
b : -2.3976, 4 -> 4
c : 8.4864, 4 -> 6
d : -3.2269, 4 -> 1
a : 2.6618, 5 -> 7
b : -9.5627, 5 -> 1
c : 5.0699, 5 -> 2
d : 1.9550, 5 -> 5
a : 1.3908, 6 -> 6
b : -8.4596, 6 -> 0
c : -0.6915, 6 -> 1
d : -6.7846, 6 -> 4
a : -8.4548, 7 -> 7
b : 4.5134, 7 -> 1
c : 2.9628, 7 -> 6
d : 5.7343, 7 -> 4
d : -1.9045, 0 -> 6
b : -8.8832, 0 -> 5
a : 1.6515, 1 -> 2
a : -1.5705, 1 -> 2
c : 9.2170, 2 -> 2
d : 6.4468, 2 -> 4
d : -6.6071, 3 -> 7
c : -8.4042, 3 -> 6
a : 4.1369, 4 -> 7
a : 8.3057, 4 -> 7
a : -1.9374, 5 -> 5
d : -9.0221, 5 -> 7
d : 6.7999, 6 -> 2
d : 8.0393, 6 -> 7
d : 8.5895, 7 -> 5
d : -1.6167, 7 -> 2
