a : -9.6709, 0 -> 0
b : 9.8461, 0 -> 2
c : 6.9336, 0 -> 5
d : 9.5940, 0 -> 1
a : -7.6165, 1 -> 0
b : -8.3314, 1 -> 6
c : 2.5197, 1 -> 2
d : 8.4365, 1 -> 7
a : 0.0477, 2 -> 4
b : -2.6301, 2 -> 1
c : 2.8469, 2 -> 7
d : 9.8452, 2 -> 5
a : 8.9206, 3 -> 4
b : 1.1496, 3 -> 6
c : -2.2693, 3 -> 3
d : 3.3627, 3 -> 5
a : 6.2825, 4 -> 1
b : 8.6030, 4 -> 0
c : 9.3440, 4 -> 6
d : 6.1900, 4 -> 6
a : 2.8562, 5 -> 3
b : -7.2081, 5 -> 1
c : -0.5158, 5 -> 5
d : -1.3300, 5 -> 2
a : 1.8047, 6 -> 5
b : -3.2959, 6 -> 0
c : 3.2988, 6 -> 5
d : -0.1939, 6 -> 1
a : 9.2289, 7 -> 7
b : -2.5484, 7 -> 5
c : 1.4920, 7 -> 7
d : 3.6532, 7 -> 0
d : -1.2645, 0 -> 2
d : -4.0469, 0 -> 7
a : 1.9808, 1 -> 6
c : 1.9027, 1 -> 2
b : 4.9895, 2 -> 2
c : 2.9925, 2 -> 1
b : -3.5790, 3 -> 2
c : -6.0562, 3 -> 4
a : -6.0247, 4 -> 7
d : -6.7654, 4 -> 0
b : -9.3253, 5 -> 1
b : 4.8096, 5 -> 1
c : -4.8136, 6 -> 0
b : -2.0543, 6 -> 3
a : -4.0795, 7 -> 3
b : -1.1492, 7 -> 6
