a : -8.9240, 0 -> 3
b : 0.8093, 0 -> 0
a : 7.3947, 1 -> 3
b : 5.7518, 1 -> 2
a : 0.8688, 2 -> 3
b : -4.3386, 2 -> 7
a : -6.8386, 3 -> 6
b : 3.1545, 3 -> 1
a : -2.5309, 4 -> 1
b : 3.0568, 4 -> 4
a : 4.2687, 5 -> 4
b : -8.4614, 5 -> 6
a : 6.4718, 6 -> 3
b : -8.0428, 6 -> 3
a : 7.7455, 7 -> 0
b : 1.7519, 7 -> 6
a : 2.0749, 0 -> 1
b : -5.4636, 1 -> 2
b : 0.2456, 2 -> 3
b : 0.6932, 3 -> 7
b : -6.4718, 4 -> 7
b : -1.0653, 5 -> 0
b : -4.7103, 6 -> 3
a : -4.0625, 7 -> 6
b : 7.7268, 0 -> 4
b : -9.9704, 2 -> 5
