a : -3.1055, 0 -> 1
b : -0.4441, 0 -> 6
a : 3.6019, 1 -> 3
b : 9.4247, 1 -> 1
a : 5.5828, 2 -> 0
b : -5.9259, 2 -> 0
a : -2.1211, 3 -> 6
b : 9.1130, 3 -> 6
a : -0.0058, 4 -> 1
b : 3.7645, 4 -> 3
a : -9.1904, 5 -> 0
b : -6.1242, 5 -> 6
a : -2.5276, 6 -> 1
b : -2.4498, 6 -> 0
a : -3.1873, 7 -> 0
b : 9.6856, 7 -> 7
a : 8.4542, 0 -> 3
b : 5.5706, 1 -> 6
a : -3.2660, 2 -> 0
b : 2.8567, 3 -> 1
b : 9.0725, 4 -> 6
a : -6.5581, 5 -> 4
a : 5.5095, 6 -> 2
b : -5.5720, 7 -> 3
a : 5.7203, 3 -> 5
b : 6.5393, 0 -> 7
