a : 6.4833, 0 -> 6
b : 1.4375, 0 -> 4
c : 7.4722, 0 -> 7
d : -5.6581, 0 -> 5
a : 8.9088, 1 -> 6
b : -3.4132, 1 -> 4
c : -4.3747, 1 -> 1
d : 6.9467, 1 -> 1
a : -9.1956, 2 -> 5
b : -4.3488, 2 -> 2
c : -4.9394, 2 -> 4
d : 8.7722, 2 -> 6
a : 8.2294, 3 -> 7
b : -5.6403, 3 -> 0
c : 6.5650, 3 -> 6
d : -0.5311, 3 -> 4
a : -5.5751, 4 -> 2
b : -1.5241, 4 -> 5
c : 0.1985, 4 -> 3
d : 9.0061, 4 -> 7
a : -5.0874, 5 -> 6
b : -0.7822, 5 -> 5
c : -8.0270, 5 -> 7
d : 1.6462, 5 -> 0
a : -5.8639, 6 -> 5
b : -6.2336, 6 -> 4
c : -5.1432, 6 -> 6
d : 6.1982, 6 -> 3
a : -0.8765, 7 -> 1
b : -7.6210, 7 -> 3
c : -1.5514, 7 -> 0
d : 7.0186, 7 -> 5
d : 4.3981, 0 -> 5
a : 6.9269, 0 -> 7
a : -5.2816, 1 -> 2
c : 7.3339, 1 -> 7
a : -9.7799, 2 -> 7
a : -0.9939, 2 -> 7
c : 0.3160, 3 -> 0
d : 0.5090, 3 -> 4
d : 9.8434, 4 -> 4
d : 2.8700, 4 -> 0
a : 4.2683, 5 -> 2
a : 8.5223, 5 -> 3
c : 0.0659, 6 -> 7
d : 2.0872, 6 -> 4
a : 3.6807, 7 -> 7
d : 8.5249, 7 -> 0
