a : 9.1726, 0 -> 2
b : 4.0015, 0 -> 7
c : -5.1353, 0 -> 6
d : -3.5571, 0 -> 7
a : 1.5347, 1 -> 7
b : -7.9329, 1 -> 7
c : 5.7988, 1 -> 7
d : -8.5652, 1 -> 4
a : 0.6412, 2 -> 1
b : -7.4756, 2 -> 6
c : 5.4041, 2 -> 3
d : 0.1312, 2 -> 1
a : 2.8575, 3 -> 5
b : -9.1305, 3 -> 0
c : -7.8072, 3 -> 1
d : 7.8417, 3 -> 6
a : 0.6337, 4 -> 7
b : 3.4824, 4 -> 4
c : 1.1442, 4 -> 7
d : 1.7014, 4 -> 4
a : -8.0615, 5 -> 7
b : 4.2357, 5 -> 2
c : -3.6298, 5 -> 4
d : -8.2027, 5 -> 6
a : -9.2206, 6 -> 0
b : -3.3510, 6 -> 3
c : 2.9532, 6 -> 3
d : 9.0238, 6 -> 7
a : 7.9073, 7 -> 7
b : 5.9616, 7 -> 4
c : 6.9893, 7 -> 7
d : -7.7248, 7 -> 1
c : 2.9211, 0 -> 1
b : 7.1235, 0 -> 6
a : 6.0844, 1 -> 3
c : -9.3891, 1 -> 3
d : 9.1226, 2 -> 5
a : 4.5304, 2 -> 1
d : 4.2023, 3 -> 6
d : -0.8894, 3 -> 6
b : 2.5838, 4 -> 7
b : 8.8667, 4 -> 7
a : -7.7528, 5 -> 4
b : -6.5127, 5 -> 5
d : -3.6926, 6 -> 4
c : -6.0240, 6 -> 7
d : 3.9378, 7 -> 7
b : -2.7303, 7 -> 3
