a : -6.4741, 0 -> 4
b : 6.0867, 0 -> 4
c : 0.6129, 0 -> 7
d : 0.7548, 0 -> 4
a : 6.6083, 1 -> 7
b : 7.9552, 1 -> 4
c : 2.6435, 1 -> 7
d : -6.2134, 1 -> 2
a : -8.1786, 2 -> 3
b : -9.6242, 2 -> 6
c : -4.1575, 2 -> 6
d : -5.1675, 2 -> 3
a : 4.3398, 3 -> 0
b : -0.3903, 3 -> 6
c : -7.3858, 3 -> 3
d : -6.9754, 3 -> 1
a : 7.4301, 4 -> 1
b : 4.3058, 4 -> 2
c : -6.3497, 4 -> 7
d : -6.9298, 4 -> 4
a : 1.9041, 5 -> 4
b : 2.1620, 5 -> 1
c : 9.4746, 5 -> 1
d : 4.0523, 5 -> 3
a : -3.0257, 6 -> 5
b : 8.8515, 6 -> 1
c : 7.1034, 6 -> 5
d : -2.7394, 6 -> 2
a : 5.6779, 7 -> 4
b : 6.8120, 7 -> 0
c : 3.6540, 7 -> 5
d : -5.8684, 7 -> 6
b : -4.9291, 0 -> 1
b : 3.9135, 0 -> 7
c : 9.7546, 1 -> 4
b : 4.0991, 1 -> 3
a : -7.6577, 2 -> 4
a : 8.8978, 2 -> 5
c : -2.2793, 3 -> 5
c : 1.5713, 3 -> 3
d : -6.0307, 4 -> 0
a : -9.7696, 4 -> 6
b : 5.4891, 5 -> 6
c : -1.2621, 5 -> 7
a : -7.2118, 6 -> 0
b : 5.3606, 6 -> 2
b : -6.8474, 7 -> 5
b : -1.6523, 7 -> 3
