a : 5.1734, 0 -> 7
b : 3.7720, 0 -> 3
c : 4.1106, 0 -> 0
d : 3.7988, 0 -> 1
a : -8.7476, 1 -> 3
b : 8.3943, 1 -> 0
c : -2.6031, 1 -> 4
d : -0.4535, 1 -> 7
a : 8.7843, 2 -> 2
b : -3.6893, 2 -> 6
c : 5.8170, 2 -> 3
d : 2.1142, 2 -> 6
a : 6.3561, 3 -> 3
b : 7.4158, 3 -> 3
c : 3.6919, 3 -> 0
d : 0.8990, 3 -> 2
a : 1.1776, 4 -> 5
b : -7.8430, 4 -> 1
c : 8.7649, 4 -> 3
d : -4.5129, 4 -> 5
a : -5.6997, 5 -> 5
b : -5.0019, 5 -> 4
c : -6.9657, 5 -> 5
d : -5.6975, 5 -> 4
a : -3.4846, 6 -> 7
b : -2.6476, 6 -> 6
c : -8.0048, 6 -> 4
d : -4.1663, 6 -> 3
a : 5.0143, 7 -> 3
b : 0.4517, 7 -> 4
c : 1.0022, 7 -> 0
d : 4.5433, 7 -> 1
a : -2.6580, 0 -> 0
a : 0.6141, 0 -> 7
d : 0.6753, 1 -> 7
d : -0.4536, 1 -> 4
a : 3.5005, 2 -> 5
a : -6.8153, 2 -> 4
c : 1.2755, 3 -> 6
c : 1.4345, 3 -> 4
d : 1.1566, 4 -> 4
b : 8.3146, 4 -> 6
c : -3.9047, 5 -> 4
c : 5.0916, 5 -> 1
b : 5.9716, 6 -> 7
b : -0.0265, 6 -> 6
c : -2.0794, 7 -> 4
b : -4.2454, 7 -> 5
