a : 8.1271, 0 -> 5
b : -1.0151, 0 -> 2
c : -9.8912, 0 -> 2
d : -0.2114, 0 -> 7
a : 4.0450, 1 -> 4
b : -8.2442, 1 -> 4
c : -2.5344, 1 -> 0
d : -3.3232, 1 -> 0
a : -8.1258, 2 -> 4
b : -5.6847, 2 -> 7
c : 6.7778, 2 -> 0
d : 2.9772, 2 -> 1
a : 8.1324, 3 -> 2
b : -6.5174, 3 -> 0
c : 1.7448, 3 -> 5
d : 1.2646, 3 -> 4
a : 3.5829, 4 -> 4
b : -5.2816, 4 -> 0
c : 1.9078, 4 -> 1
d : -9.4441, 4 -> 5
a : 5.0226, 5 -> 2
b : 3.0491, 5 -> 4
c : -6.2310, 5 -> 6
d : 2.5758, 5 -> 2
a : 6.1622, 6 -> 3
b : -1.7787, 6 -> 5
c : 9.8016, 6 -> 4
d : 1.2800, 6 -> 7
a : 9.5950, 7 -> 3
b : -1.9638, 7 -> 1
c : -0.7001, 7 -> 0
d : -5.9856, 7 -> 3
a : 4.0526, 0 -> 0
c : 1.9113, 0 -> 1
a : 2.1401, 1 -> 1
a : 6.1724, 1 -> 1
c : -3.1588, 2 -> 4
b : 8.3281, 2 -> 7
c : -0.2287, 3 -> 4
d : -6.1638, 3 -> 1
a : 5.2841, 4 -> 3
c : -8.6391, 4 -> 4
c : 9.8180, 5 -> 6
b : -3.5304, 5 -> 6
c : 2.1937, 6 -> 0
a : -4.9031, 6 -> 3
d : -9.3483, 7 -> 0
a : 5.0287, 7 -> 7
