a : -1.1256, 0 -> 7
b : 2.8810, 0 -> 3
c : -9.4603, 0 -> 7
d : -2.3720, 0 -> 3
a : -3.2341, 1 -> 1
b : -4.2485, 1 -> 5
c : 2.0560, 1 -> 6
d : 8.5030, 1 -> 2
a : -4.0115, 2 -> 1
b : -3.6197, 2 -> 5
c : -3.8649, 2 -> 1
d : 0.1621, 2 -> 5
a : 0.6216, 3 -> 0
b : -3.1190, 3 -> 6
c : 9.1272, 3 -> 3
d : 9.4275, 3 -> 0
a : 9.7079, 4 -> 1
b : 2.7900, 4 -> 2
c : 0.9982, 4 -> 2
d : -2.9706, 4 -> 7
a : -9.7910, 5 -> 1
b : -9.5954, 5 -> 3
c : 8.6002, 5 -> 4
d : 8.6992, 5 -> 7
a : 0.0381, 6 -> 4
b : -6.0358, 6 -> 0
c : -6.8159, 6 -> 3
d : -1.6332, 6 -> 5
a : -0.4850, 7 -> 4
b : 3.4555, 7 -> 5
c : 3.6255, 7 -> 1
d : -4.5029, 7 -> 4
a : -4.8207, 0 -> 1
b : 0.0996, 0 -> 5
b : 9.0928, 1 -> 7
d : -1.7629, 1 -> 6
a : 8.0663, 2 -> 0
d : -8.0509, 2 -> 3
a : 0.4080, 3 -> 3
b : -5.5739, 3 -> 1
b : 6.2860, 4 -> 4
c : -8.3549, 4 -> 1
c : -5.3199, 5 -> 5
b : 6.4487, 5 -> 6
b : 1.9382, 6 -> 7
d : -6.5585, 6 -> 1
c : 5.9541, 7 -> 0
d : -5.0155, 7 -> 5
