a : 8.4979, 0 -> 6
b : -8.9997, 0 -> 2
c : -7.3307, 0 -> 5
d : 7.4883, 0 -> 6
a : 1.3560, 1 -> 7
b : -5.5489, 1 -> 5
c : -8.4461, 1 -> 0
d : 4.7718, 1 -> 5
a : -8.5244, 2 -> 1
b : 8.7903, 2 -> 5
c : 2.3213, 2 -> 1
d : 8.3464, 2 -> 4
a : -2.9281, 3 -> 0
b : 3.2234, 3 -> 2
c : -6.2019, 3 -> 6
d : 7.7138, 3 -> 5
a : -3.6153, 4 -> 4
b : -2.8033, 4 -> 6
c : 8.5332, 4 -> 1
d : -2.9503, 4 -> 5
a : -2.7076, 5 -> 5
b : -6.7681, 5 -> 7
c : -5.6535, 5 -> 7
d : -3.2337, 5 -> 3
a : -8.0073, 6 -> 6
b : 0.2761, 6 -> 7
c : -4.5195, 6 -> 7
d : -6.0384, 6 -> 0
a : -8.4589, 7 -> 3
b : 4.1809, 7 -> 4
c : -1.0849, 7 -> 5
d : -5.6763, 7 -> 6
a : 4.8047, 0 -> 0
d : 1.0721, 0 -> 1
c : 8.1924, 1 -> 5
b : -7.5009, 1 -> 4
b : -1.4599, 2 -> 6
c : 1.7071, 2 -> 2
a : 0.1553, 3 -> 5
b : 3.1281, 3 -> 7
d : 4.6601, 4 -> 0
c : -6.9296, 4 -> 7
b : 5.5855, 5 -> 1
c : 5.5112, 5 -> 7
a : -3.3074, 6 -> 3
c : 1.6648, 6 -> 3
b : -7.0558, 7 -> 2
b : 4.5414, 7 -> 6
