a : 5.0232, 0 -> 2
b : -7.0993, 0 -> 6
a : -2.0311, 1 -> 0
b : -8.6060, 1 -> 4
a : -4.0977, 2 -> 3
b : 1.2793, 2 -> 5
a : -7.8902, 3 -> 2
b : -0.2020, 3 -> 6
a : -8.8211, 4 -> 4
b : 2.3460, 4 -> 6
a : 4.8835, 5 -> 6
b : -2.3184, 5 -> 3
a : -1.7926, 6 -> 0
b : 5.8289, 6 -> 0
a : -1.6425, 7 -> 4
b : 2.7615, 7 -> 4
a : 1.0012, 0 -> 6
a : -5.7880, 1 -> 0
a : -6.8617, 2 -> 2
a : -9.8860, 3 -> 6
b : 7.5787, 4 -> 2
a : 2.4626, 5 -> 6
a : 1.2936, 6 -> 4
a : 4.9185, 7 -> 0
b : -8.8096, 4 -> 1
a : 0.3052, 2 -> 7
