a : -2.2358, 0 -> 6
b : -6.6670, 0 -> 4
a : -7.4974, 1 -> 2
b : -0.3569, 1 -> 1
a : -0.6248, 2 -> 1
b : 5.8099, 2 -> 1
a : -9.9453, 3 -> 0
b : -3.1217, 3 -> 2
a : 7.4113, 4 -> 6
b : 0.3731, 4 -> 0
a : 1.7557, 5 -> 2
b : -0.9576, 5 -> 6
a : 9.5952, 6 -> 7
b : -0.3396, 6 -> 0
a : 9.2089, 7 -> 1
b : 7.5909, 7 -> 0
a : 1.8520, 0 -> 1
b : -0.5319, 1 -> 4
b : 7.8982, 2 -> 7
b : -5.9386, 3 -> 6
a : -3.9125, 4 -> 1
b : -9.3309, 5 -> 2
a : 5.7475, 6 -> 6
b : -1.4388, 7 -> 6
a : 6.4211, 7 -> 5
a : 1.7471, 0 -> 3
