a : -0.5467, 0 -> 5
b : 8.6652, 0 -> 3
c : -5.1115, 0 -> 4
d : 1.1902, 0 -> 4
a : 9.0604, 1 -> 1
b : -3.5276, 1 -> 2
c : 7.7743, 1 -> 3
d : -8.8292, 1 -> 3
a : -6.2982, 2 -> 6
b : -2.7062, 2 -> 5
c : -5.7539, 2 -> 4
d : 6.4672, 2 -> 4
a : 2.0368, 3 -> 4
b : 8.7416, 3 -> 1
c : 6.2376, 3 -> 1
d : -8.6871, 3 -> 0
a : 9.2788, 4 -> 3
b : 0.4562, 4 -> 2
c : -9.1644, 4 -> 6
d : 1.1004, 4 -> 7
a : -9.8860, 5 -> 5
b : 1.5687, 5 -> 5
c : 5.8796, 5 -> 1
d : 8.5180, 5 -> 4
a : 6.0942, 6 -> 7
b : -7.3906, 6 -> 1
c : -8.2873, 6 -> 2
d : -3.6001, 6 -> 3
a : 9.9060, 7 -> 0
b : 0.7872, 7 -> 7
c : 5.3681, 7 -> 1
d : 0.6468, 7 -> 0
d : 8.5446, 0 -> 6
c : -5.2869, 0 -> 4
d : -6.0380, 1 -> 2
a : 5.2910, 1 -> 4
c : -3.7211, 2 -> 2
c : -1.4471, 2 -> 7
a : -2.1274, 3 -> 5
c : -7.8127, 3 -> 4
c : -0.6407, 4 -> 5
b : 6.3689, 4 -> 2
c : 2.4214, 5 -> 5
d : -4.9355, 5 -> 4
b : -0.3403, 6 -> 7
a : -2.6932, 6 -> 1
a : 9.8300, 7 -> 1
d : -8.4020, 7 -> 0
