a : -8.3502, 0 -> 1
b : -5.3596, 0 -> 4
c : -1.3326, 0 -> 3
d : 6.2884, 0 -> 4
a : -0.2455, 1 -> 5
b : -4.2807, 1 -> 6
c : 1.3173, 1 -> 5
d : 5.9958, 1 -> 1
a : -8.2735, 2 -> 5
b : -9.7268, 2 -> 7
c : 9.2500, 2 -> 4
d : 9.3641, 2 -> 3
a : -0.9249, 3 -> 4
b : 5.7168, 3 -> 4
c : -8.5852, 3 -> 3
d : -2.3520, 3 -> 4
a : 4.8782, 4 -> 1
b : 9.6162, 4 -> 3
c : 5.4018, 4 -> 2
d : 5.8754, 4 -> 6
a : -0.0035, 5 -> 6
b : 6.1859, 5 -> 6
c : -4.7211, 5 -> 1
d : 3.0825, 5 -> 1
a : -8.4752, 6 -> 6
b : 6.2235, 6 -> 2
c : 0.9073, 6 -> 6
d : 3.6258, 6 -> 6
a : 9.7309, 7 -> 1
b : 0.7485, 7 -> 6
c : 0.3590, 7 -> 3
d : -8.9689, 7 -> 1
c : 6.2965, 0 -> 7
b : 9.3535, 0 -> 4
b : 3.3761, 1 -> 5
b : -0.6406, 1 -> 3
a : -7.2067, 2 -> 4
c : -1.3924, 2 -> 7
a : 0.4099, 3 -> 4
c : -8.2861, 3 -> 7
a : 3.1844, 4 -> 2
a : -7.4036, 4 -> 0
a : 5.5298, 5 -> 1
c : -7.9556, 5 -> 0
d : -6.5100, 6 -> 4
d : -7.1255, 6 -> 5
d : -4.5569, 7 -> 7
a : -8.7064, 7 -> 5
