a : -7.6231, 0 -> 7
b : 1.0461, 0 -> 4
c : -3.9804, 0 -> 6
d : 3.8636, 0 -> 1
a : -9.6021, 1 -> 1
b : 9.6661, 1 -> 6
c : 7.8084, 1 -> 3
d : 1.7928, 1 -> 5
a : 6.0504, 2 -> 5
b : -8.8002, 2 -> 2
c : -9.1948, 2 -> 5
d : -7.7982, 2 -> 6
a : -6.8711, 3 -> 1
b : 8.1988, 3 -> 5
c : -4.6758, 3 -> 6
d : -5.9504, 3 -> 6
a : 4.4941, 4 -> 2
b : -6.7373, 4 -> 5
c : 0.3475, 4 -> 5
d : -9.7400, 4 -> 7
a : 1.5824, 5 -> 2
b : 3.2207, 5 -> 0
c : 5.6482, 5 -> 4
d : -6.8501, 5 -> 3
a : -5.7328, 6 -> 4
b : -6.0581, 6 -> 4
c : -7.7325, 6 -> 2
d : 5.3054, 6 -> 6
a : 8.8236, 7 -> 4
b : -7.2437, 7 -> 1
c : -3.8018, 7 -> 3
d : -8.0371, 7 -> 6
d : 8.4884, 0 -> 4
a : -0.2826, 0 -> 0
a : -7.5926, 1 -> 5
a : 0.7930, 1 -> 6
d : 6.2175, 2 -> 4
c : 9.8363, 2 -> 3
b : 2.0493, 3 -> 3
b : 2.5448, 3 -> 4
b : 5.0612, 4 -> 1
c : -6.1153, 4 -> 1
a : -0.0134, 5 -> 5
d : -2.8882, 5 -> 0
d : -0.8003, 6 -> 1
a : -7.2669, 6 -> 0
c : 5.9956, 7 -> 3
d : -6.7384, 7 -> 4
