a : 9.0960, 0 -> 6
b : -3.8044, 0 -> 6
c : 4.3091, 0 -> 6
d : 8.8696, 0 -> 6
a : -2.4059, 1 -> 5
b : -3.1090, 1 -> 2
c : -8.1841, 1 -> 4
d : 6.6657, 1 -> 7
a : -8.3275, 2 -> 7
b : 6.5809, 2 -> 3
c : -9.7015, 2 -> 1
d : 8.0045, 2 -> 6
a : 0.7437, 3 -> 6
b : 4.5227, 3 -> 1
c : -8.6874, 3 -> 5
d : 2.5471, 3 -> 7
a : -5.1304, 4 -> 7
b : -0.7927, 4 -> 5
c : -8.8384, 4 -> 3
d : -1.2621, 4 -> 5
a : -1.0921, 5 -> 1
b : 5.7597, 5 -> 5
c : -5.6053, 5 -> 1
d : 4.6256, 5 -> 4
a : 0.8153, 6 -> 7
b : -0.0717, 6 -> 6
c : 4.5132, 6 -> 0
d : -4.8537, 6 -> 4
a : 6.8282, 7 -> 2
b : 6.0359, 7 -> 0
c : -7.5705, 7 -> 0
d : 0.7149, 7 -> 3
d : 1.1106, 0 -> 0
c : 1.9988, 0 -> 5
c : -1.2157, 1 -> 7
b : -3.4444, 1 -> 4
a : -4.9478, 2 -> 4
a : 9.1869, 2 -> 4
a : 2.7156, 3 -> 4
c : 1.0129, 3 -> 2
a : -8.2209, 4 -> 1
d : 9.3383, 4 -> 0
b : -0.3714, 5 -> 3
c : -1.3913, 5 -> 6
d : -4.8367, 6 -> 3
c : 0.2869, 6 -> 1
d : 5.1971, 7 -> 5
b : -0.1110, 7 -> 2
