a : -4.3907, 0 -> 2
b : 4.1852, 0 -> 2
c : -0.4451, 0 -> 5
d : 7.4550, 0 -> 1
a : -1.6943, 1 -> 3
b : 4.4677, 1 -> 1
c : -2.4854, 1 -> 6
d : 7.7773, 1 -> 2
a : -1.2589, 2 -> 2
b : -6.7850, 2 -> 1
c : -1.6941, 2 -> 0
d : 4.4031, 2 -> 3
a : 5.1780, 3 -> 5
b : -6.7506, 3 -> 4
c : 5.8894, 3 -> 3
d : -9.0790, 3 -> 3
a : 2.6030, 4 -> 2
b : 5.1551, 4 -> 6
c : 5.0155, 4 -> 7
d : -9.4035, 4 -> 6
a : -3.2104, 5 -> 1
b : -9.5509, 5 -> 1
c : 3.2825, 5 -> 5
d : 4.4983, 5 -> 3
a : 2.2603, 6 -> 0
b : -0.5220, 6 -> 7
c : -0.5208, 6 -> 6
d : 1.7213, 6 -> 3
a : -9.9674, 7 -> 3
b : -0.3323, 7 -> 3
c : -7.8195, 7 -> 3
d : -0.0269, 7 -> 1
a : -1.4641, 0 -> 2
a : 8.6337, 0 -> 3
c : 7.6181, 1 -> 3
d : 8.0621, 1 -> 4
a : 5.9126, 2 -> 1
c : -2.0282, 2 -> 4
b : 3.8943, 3 -> 2
c : 8.3336, 3 -> 6
b : -9.5847, 4 -> 3
c : -3.3499, 4 -> 2
d : -3.9332, 5 -> 5
c : -3.7967, 5 -> 2
b : 5.7438, 6 -> 4
b : 1.2508, 6 -> 7
d : 2.6435, 7 -> 0
b : -3.5997, 7 -> 1
