a : -4.2705, 0 -> 6
b : 1.9913, 0 -> 2
c : -3.8692, 0 -> 1
d : -7.5538, 0 -> 7
a : -5.3656, 1 -> 3
b : 6.8757, 1 -> 6
c : -0.6985, 1 -> 7
d : 2.5852, 1 -> 4
a : 0.6113, 2 -> 1
b : -7.0863, 2 -> 7
c : -3.7308, 2 -> 7
d : 4.5989, 2 -> 0
a : -3.8663, 3 -> 1
b : 0.6609, 3 -> 0
c : 3.7775, 3 -> 5
d : 1.8700, 3 -> 1
a : -9.4662, 4 -> 2
b : 7.2195, 4 -> 0
c : 3.8630, 4 -> 5
d : -9.1802, 4 -> 0
a : 8.1354, 5 -> 3
b : 9.3531, 5 -> 3
c : -3.0080, 5 -> 4
d : 5.9963, 5 -> 0
a : -1.7606, 6 -> 0
b : -0.7211, 6 -> 7
c : -8.6454, 6 -> 3
d : 6.5720, 6 -> 0
a : 9.3937, 7 -> 0
b : -1.5967, 7 -> 2
c : -4.1888, 7 -> 0
d : -4.7598, 7 -> 2
d : 9.0851, 0 -> 5
c : 6.1675, 0 -> 3
b : -9.8183, 1 -> 7
d : 7.6511, 1 -> 0
b : 2.9347, 2 -> 4
c : 8.1640, 2 -> 6
c : -7.9451, 3 -> 0
c : 7.1470, 3 -> 0
b : 2.7665, 4 -> 3
c : 6.4582, 4 -> 0
b : 0.6139, 5 -> 5
a : 5.3686, 5 -> 5
b : -4.3724, 6 -> 5
b : 9.7284, 6 -> 1
d : 3.4885, 7 -> 1
a : -0.4290, 7 -> 1
