a : 5.6160, 0 -> 6
b : -4.0838, 0 -> 0
c : 1.3955, 0 -> 7
d : -9.5303, 0 -> 4
a : -8.9267, 1 -> 3
b : 1.8393, 1 -> 3
c : -7.4826, 1 -> 1
d : -4.3623, 1 -> 5
a : -8.4811, 2 -> 1
b : 4.5490, 2 -> 0
c : -8.9196, 2 -> 1
d : -9.4514, 2 -> 5
a : -7.4352, 3 -> 7
b : -4.0226, 3 -> 1
c : -0.6692, 3 -> 5
d : 0.9423, 3 -> 6
a : 6.0536, 4 -> 4
b : -2.5332, 4 -> 1
c : -8.1983, 4 -> 3
d : 1.8285, 4 -> 7
a : -5.2237, 5 -> 3
b : -7.7089, 5 -> 7
c : 6.8245, 5 -> 6
d : -1.4429, 5 -> 4
a : 0.0442, 6 -> 5
b : -4.2841, 6 -> 3
c : 4.5808, 6 -> 7
d : 2.4504, 6 -> 3
a : 8.3411, 7 -> 6
b : -6.2202, 7 -> 1
c : 0.1303, 7 -> 3
d : 4.1436, 7 -> 7
a : 1.9460, 0 -> 0
d : 4.9795, 0 -> 3
c : -8.2157, 1 -> 3
d : 2.1117, 1 -> 4
b : -6.8701, 2 -> 3
b : -7.4899, 2 -> 5
b : 3.3943, 3 -> 3
b : 5.3707, 3 -> 2
c : -7.9384, 4 -> 5
a : 6.5679, 4 -> 1
a : -3.3939, 5 -> 2
b : 5.9065, 5 -> 4
d : -1.0647, 6 -> 3
c : 4.6321, 6 -> 7
b : -2.5752, 7 -> 5
c : 8.7659, 7 -> 3
