a : 4.3940, 0 -> 0
b : 4.8339, 0 -> 2
c : 2.3743, 0 -> 4
d : 8.5292, 0 -> 6
a : -3.6236, 1 -> 1
b : -9.0699, 1 -> 3
c : -3.1338, 1 -> 1
d : 4.7765, 1 -> 1
a : 3.7592, 2 -> 4
b : 7.5203, 2 -> 1
c : -1.3769, 2 -> 0
d : -1.7988, 2 -> 5
a : -3.8817, 3 -> 3
b : 3.8288, 3 -> 4
c : -3.2267, 3 -> 3
d : -3.8840, 3 -> 7
a : -7.8318, 4 -> 7
b : 5.1041, 4 -> 7
c : 0.8605, 4 -> 5
d : -7.0763, 4 -> 1
a : 5.1820, 5 -> 1
b : -5.4195, 5 -> 3
c : 6.7250, 5 -> 6
d : 8.4775, 5 -> 1
a : 6.5530, 6 -> 7
b : 1.3602, 6 -> 7
c : 5.3064, 6 -> 5
d : -1.6931, 6 -> 4
a : 5.2299, 7 -> 3
b : -6.7569, 7 -> 6
c : 7.9554, 7 -> 4
d : 9.0152, 7 -> 4
c : 6.4560, 0 -> 0
d : 2.4714, 0 -> 5
d : 4.8668, 1 -> 0
b : -8.4123, 1 -> 6
b : -5.4530, 2 -> 0
b : -4.6935, 2 -> 1
b : -2.4503, 3 -> 4
c : -7.7436, 3 -> 1
d : 1.0448, 4 -> 3
c : -8.8706, 4 -> 2
d : 3.1230, 5 -> 0
a : -2.6802, 5 -> 4
c : -9.5860, 6 -> 7
a : -3.5655, 6 -> 4
c : 8.5965, 7 -> 2
c : 4.5034, 7 -> 1
