a : 9.4328, 0 -> 4
b : -9.8489, 0 -> 6
c : 7.8267, 0 -> 5
d : -7.2408, 0 -> 4
a : 1.6461, 1 -> 0
b : 9.3203, 1 -> 4
c : -4.0189, 1 -> 2
d : 0.9418, 1 -> 6
a : -8.5804, 2 -> 6
b : 6.9738, 2 -> 0
c : 8.2864, 2 -> 6
d : -8.0930, 2 -> 5
a : -6.9542, 3 -> 2
b : 9.8457, 3 -> 5
c : 8.9568, 3 -> 4
d : -6.2882, 3 -> 2
a : -7.4232, 4 -> 5
b : 8.8981, 4 -> 3
c : 2.2845, 4 -> 1
d : 1.3819, 4 -> 3
a : -4.1311, 5 -> 1
b : 4.9647, 5 -> 6
c : -5.4381, 5 -> 0
d : 1.1822, 5 -> 5
a : -1.9311, 6 -> 3
b : -6.2291, 6 -> 3
c : 1.8152, 6 -> 3
d : -0.3794, 6 -> 2
a : -0.4324, 7 -> 3
b : -1.5013, 7 -> 5
c : 7.1646, 7 -> 2
d : -7.1977, 7 -> 6
d : 7.8822, 0 -> 7
c : 3.8760, 0 -> 4
a : 2.6852, 1 -> 5
b : -6.4551, 1 -> 2
c : 1.5775, 2 -> 7
a : -2.8933, 2 -> 4
b : -8.2095, 3 -> 6
c : -1.4901, 3 -> 6
c : 5.5873, 4 -> 5
c : 2.9486, 4 -> 0
a : -2.4348, 5 -> 6
a : -6.7886, 5 -> 4
d : -3.7590, 6 -> 2
b : 9.8858, 6 -> 3
b : -8.9815, 7 -> 3
c : -3.5374, 7 -> 7
