a : -6.6485, 0 -> 1
b : 0.4939, 0 -> 4
c : -8.3608, 0 -> 1
d : 3.6285, 0 -> 6
a : -3.9544, 1 -> 7
b : -3.5847, 1 -> 5
c : -4.3425, 1 -> 4
d : -6.1893, 1 -> 1
a : 7.0164, 2 -> 0
b : 8.3753, 2 -> 4
c : -8.3910, 2 -> 2
d : 2.1698, 2 -> 3
a : 8.8801, 3 -> 4
b : 7.7032, 3 -> 3
c : 5.7727, 3 -> 7
d : 6.6511, 3 -> 3
a : 3.5306, 4 -> 0
b : -1.3119, 4 -> 3
c : -8.0846, 4 -> 2
d : 0.3897, 4 -> 4
a : -6.6265, 5 -> 2
b : -9.7415, 5 -> 2
c : -3.1711, 5 -> 3
d : 0.4538, 5 -> 0
a : 4.8734, 6 -> 7
b : 8.9621, 6 -> 7
c : 8.3655, 6 -> 0
d : -0.5094, 6 -> 6
a : -1.1209, 7 -> 6
b : 9.0606, 7 -> 7
c : 1.2666, 7 -> 7
d : -4.7240, 7 -> 2
b : 7.4599, 0 -> 2
b : 4.9933, 0 -> 3
a : 3.8869, 1 -> 7
c : -5.3603, 1 -> 5
d : -8.3332, 2 -> 1
a : -8.5869, 2 -> 7
b : 4.2067, 3 -> 3
d : 3.8636, 3 -> 0
b : 6.4545, 4 -> 3
a : -6.8957, 4 -> 1
c : 1.5767, 5 -> 0
b : -3.5864, 5 -> 6
b : 1.8827, 6 -> 3
d : 1.5330, 6 -> 4
a : -8.4695, 7 -> 6
d : 9.3968, 7 -> 0
