a : 1.5593, 0 -> 7
b : 1.9243, 0 -> 7
c : 9.1249, 0 -> 0
d : 9.1040, 0 -> 7
a : -9.2123, 1 -> 1
b : 8.9999, 1 -> 5
c : -4.4719, 1 -> 5
d : 0.3681, 1 -> 3
a : -1.2051, 2 -> 0
b : -1.8329, 2 -> 3
c : -6.6341, 2 -> 7
d : -1.7993, 2 -> 4
a : 8.6267, 3 -> 3
b : 9.7483, 3 -> 3
c : -7.2769, 3 -> 7
d : 4.0457, 3 -> 3
a : 1.5400, 4 -> 5
b : 8.2148, 4 -> 3
c : -1.1798, 4 -> 6
d : -0.2532, 4 -> 2
a : -9.2171, 5 -> 2
b : 1.5158, 5 -> 7
c : 8.4917, 5 -> 3
d : 3.0382, 5 -> 4
a : -3.0521, 6 -> 7
b : 7.1238, 6 -> 1
c : 9.4663, 6 -> 7
d : 2.3611, 6 -> 3
a : -5.7616, 7 -> 7
b : 8.1308, 7 -> 2
c : -3.2958, 7 -> 5
d : 6.8264, 7 -> 2
d : -0.8397, 0 -> 3
a : 7.0900, 0 -> 1
b : 3.3554, 1 -> 4
a : 5.0027, 1 -> 7
c : 5.0019, 2 -> 2
a : -4.3930, 2 -> 5
d : 2.8194, 3 -> 2
d : 0.5958, 3 -> 3
c : 4.5259, 4 -> 6
a : -9.2394, 4 -> 6
c : -4.0041, 5 -> 3
d : -4.9377, 5 -> 1
c : 7.1450, 6 -> 0
d : -8.5226, 6 -> 7
d : -2.8953, 7 -> 4
b : -1.0940, 7 -> 7
