a : 7.3382, 0 -> 0
b : -0.6059, 0 -> 3
c : 8.1707, 0 -> 0
d : -4.9658, 0 -> 0
a : -0.8724, 1 -> 3
b : 9.3935, 1 -> 2
c : -6.5196, 1 -> 5
d : -3.5831, 1 -> 5
a : 7.2985, 2 -> 0
b : 4.5962, 2 -> 1
c : -1.9262, 2 -> 7
d : -5.3560, 2 -> 0
a : -4.8898, 3 -> 1
b : -0.9934, 3 -> 0
c : -7.6606, 3 -> 5
d : -6.3012, 3 -> 1
a : 1.6040, 4 -> 5
b : 0.6276, 4 -> 3
c : 2.9351, 4 -> 5
d : -5.0987, 4 -> 5
a : -9.3152, 5 -> 4
b : -6.1295, 5 -> 3
c : -1.1411, 5 -> 7
d : -0.3723, 5 -> 0
a : -6.6637, 6 -> 4
b : -3.4277, 6 -> 1
c : 6.0970, 6 -> 7
d : -2.0082, 6 -> 4
a : 1.9114, 7 -> 2
b : 0.8230, 7 -> 3
c : -9.8590, 7 -> 4
d : -8.2119, 7 -> 5
a : -8.4848, 0 -> 6
d : 3.7400, 0 -> 6
d : -8.8432, 1 -> 2
d : 1.1379, 1 -> 3
c : 4.2324, 2 -> 1
a : 7.7026, 2 -> 4
d : 7.8634, 3 -> 3
a : -5.7767, 3 -> 4
c : 4.0033, 4 -> 2
b : -9.1420, 4 -> 1
b : -0.7518, 5 -> 3
d : 0.1307, 5 -> 7
a : 4.5816, 6 -> 3
c : -1.1118, 6 -> 0
c : -7.6650, 7 -> 3
d : -6.2556, 7 -> 4
