a : -1.4129, 0 -> 2
b : 0.2026, 0 -> 5
c : 3.0647, 0 -> 2
d : -6.1537, 0 -> 4
a : -5.5942, 1 -> 3
b : -8.8920, 1 -> 0
c : 0.5912, 1 -> 6
d : 9.5028, 1 -> 5
a : 2.5158, 2 -> 6
b : -2.7707, 2 -> 3
c : 6.3232, 2 -> 2
d : 7.9566, 2 -> 6
a : 1.1441, 3 -> 0
b : 5.3738, 3 -> 7
c : 5.8795, 3 -> 3
d : -9.2150, 3 -> 2
a : -7.9052, 4 -> 0
b : 8.9121, 4 -> 6
c : -7.0383, 4 -> 4
d : -3.8641, 4 -> 7
a : -4.5500, 5 -> 0
b : 8.9963, 5 -> 0
c : 1.2584, 5 -> 4
d : -5.7571, 5 -> 7
a : 6.3109, 6 -> 1
b : -7.4796, 6 -> 0
c : -9.1720, 6 -> 1
d : -4.0068, 6 -> 1
a : 2.6084, 7 -> 5
b : 3.7375, 7 -> 5
c : -9.1198, 7 -> 7
d : 4.4658, 7 -> 3
d : 5.2063, 0 -> 2
d : -5.9026, 0 -> 6
b : -0.6348, 1 -> 1
c : 4.2900, 1 -> 0
c : 8.9904, 2 -> 7
c : -2.9954, 2 -> 7
c : 6.4121, 3 -> 7
c : -3.3130, 3 -> 7
c : 2.2730, 4 -> 7
b : -3.0494, 4 -> 5
a : 7.7863, 5 -> 7
a : -7.4878, 5 -> 2
c : 6.8738, 6 -> 4
c : 7.7820, 6 -> 4
c : 2.8679, 7 -> 4
a : -8.0611, 7 -> 6
