a : -5.6556, 0 -> 7
b : -3.7814, 0 -> 6
c : -3.5362, 0 -> 5
d : -0.3958, 0 -> 3
a : -6.6855, 1 -> 4
b : -1.9455, 1 -> 7
c : 5.2908, 1 -> 7
d : -5.2847, 1 -> 3
a : -4.1609, 2 -> 7
b : 1.6967, 2 -> 4
c : 9.3929, 2 -> 1
d : 7.9056, 2 -> 0
a : -2.1911, 3 -> 3
b : -3.9575, 3 -> 1
c : -3.6153, 3 -> 4
d : 4.7984, 3 -> 2
a : -0.2142, 4 -> 1
b : -6.4378, 4 -> 2
c : 2.9358, 4 -> 2
d : 9.2111, 4 -> 2
a : 9.4280, 5 -> 1
b : 6.7171, 5 -> 1
c : -3.8542, 5 -> 5
d : 2.9696, 5 -> 0
a : -3.9119, 6 -> 2
b : 8.0161, 6 -> 1
c : 3.9794, 6 -> 5
d : -9.6597, 6 -> 0
a : -0.0361, 7 -> 5
b : -8.3195, 7 -> 1
c : 1.8792, 7 -> 5
d : 8.4956, 7 -> 3
d : -9.9425, 0 -> 4
a : -7.7257, 0 -> 7
b : 6.1143, 1 -> 3
d : -9.8145, 1 -> 6
c : 6.2304, 2 -> 6
c : -5.1718, 2 -> 4
c : -1.6735, 3 -> 3
c : 3.1518, 3 -> 1
a : -7.7370, 4 -> 6
b : -4.2353, 4 -> 2
a : -6.2880, 5 -> 0
d : -3.1307, 5 -> 3
b : -4.3443, 6 -> 7
c : -3.5619, 6 -> 1
c : 5.6227, 7 -> 1
a : -4.6239, 7 -> 2
