a : -7.7383, 0 -> 5
b : -9.3542, 0 -> 7
c : -5.9807, 0 -> 1
d : 0.5691, 0 -> 4
a : -3.5592, 1 -> 2
b : 9.3946, 1 -> 6
c : 3.0184, 1 -> 5
d : 4.7181, 1 -> 3
a : 2.5957, 2 -> 0
b : 7.5326, 2 -> 0
c : -9.2489, 2 -> 7
d : 0.2930, 2 -> 1
a : 7.8474, 3 -> 2
b : 6.0395, 3 -> 6
c : 8.1495, 3 -> 6
d : -0.0211, 3 -> 2
a : -1.8640, 4 -> 0
b : -4.7852, 4 -> 1
c : -7.3239, 4 -> 5
d : 6.2453, 4 -> 3
a : -6.5835, 5 -> 7
b : 9.8597, 5 -> 6
c : -1.1127, 5 -> 1
d : 2.4662, 5 -> 5
a : 6.1709, 6 -> 2
b : 1.3730, 6 -> 2
c : 2.3594, 6 -> 0
d : -5.3150, 6 -> 4
a : -7.5124, 7 -> 1
b : 7.7053, 7 -> 3
c : 7.3833, 7 -> 5
d : 0.8611, 7 -> 6
a : 7.4184, 0 -> 0
a : -3.7676, 0 -> 5
a : -7.4467, 1 -> 3
c : -5.5211, 1 -> 4
d : -8.6909, 2 -> 6
d : 6.9191, 2 -> 7
d : 1.2511, 3 -> 0
d : -4.2445, 3 -> 5
c : 5.1021, 4 -> 1
c : 6.1665, 4 -> 1
c : -2.8761, 5 -> 2
d : 4.6980, 5 -> 4
a : 0.0937, 6 -> 7
b : -8.9928, 6 -> 7
a : 8.6269, 7 -> 4
a : -5.1717, 7 -> 7
