a : 1.6681, 0 -> 6
b : -6.0674, 0 -> 5
c : 5.3965, 0 -> 6
d : 6.4034, 0 -> 7
a : -7.6073, 1 -> 7
b : 1.5465, 1 -> 7
c : 4.5980, 1 -> 0
d : -2.2743, 1 -> 3
a : -6.6115, 2 -> 5
b : -9.0835, 2 -> 0
c : 2.2867, 2 -> 0
d : 5.6411, 2 -> 7
a : -3.9164, 3 -> 7
b : -8.9713, 3 -> 6
c : -6.3599, 3 -> 0
d : -0.2303, 3 -> 3
a : -0.1239, 4 -> 7
b : -4.4371, 4 -> 3
c : -6.7134, 4 -> 2
d : -9.6255, 4 -> 0
a : 8.3396, 5 -> 7
b : -0.1097, 5 -> 3
c : -7.4446, 5 -> 4
d : 3.6342, 5 -> 6
a : 8.9672, 6 -> 0
b : -0.8407, 6 -> 6
c : 7.1770, 6 -> 4
d : 5.3861, 6 -> 3
a : -0.0376, 7 -> 4
b : 8.8396, 7 -> 5
c : -2.1356, 7 -> 4
d : 8.6769, 7 -> 7
d : -5.1552, 0 -> 4
b : 6.4229, 0 -> 6
a : -7.7123, 1 -> 7
d : 7.3855, 1 -> 5
c : -6.3129, 2 -> 6
a : -1.4376, 2 -> 3
d : -5.5409, 3 -> 4
c : 8.7182, 3 -> 0
c : -5.5545, 4 -> 0
d : 6.2945, 4 -> 3
c : -5.0308, 5 -> 2
a : 1.3471, 5 -> 5
b : -1.5932, 6 -> 3
c : 0.0600, 6 -> 6
c : -6.3866, 7 -> 4
b : 3.8294, 7 -> 5
c : -1.4899, 4 -> 1
