a : 6.2201, 0 -> 4
b : 0.8422, 0 -> 1
c : 2.2758, 0 -> 5
d : 7.2686, 0 -> 2
a : -8.3846, 1 -> 4
b : 1.3910, 1 -> 7
c : 7.9535, 1 -> 3
d : 8.8993, 1 -> 7
a : 2.4232, 2 -> 2
b : -1.8324, 2 -> 4
c : -4.8721, 2 -> 6
d : 4.6897, 2 -> 3
a : 8.2672, 3 -> 4
b : -5.1559, 3 -> 7
c : -4.8144, 3 -> 1
d : 9.2482, 3 -> 1
a : -8.9540, 4 -> 3
b : 4.7292, 4 -> 3
c : 4.1177, 4 -> 2
d : 0.6356, 4 -> 7
a : -9.1510, 5 -> 2
b : -0.6034, 5 -> 0
c : 1.1000, 5 -> 6
d : 8.5412, 5 -> 1
a : 7.3832, 6 -> 5
b : -8.4284, 6 -> 3
c : 6.4511, 6 -> 2
d : 2.0356, 6 -> 5
a : 5.1706, 7 -> 5
b : -9.3023, 7 -> 0
c : 8.1072, 7 -> 0
d : -5.0263, 7 -> 4
b : -3.1137, 0 -> 5
d : -7.8677, 0 -> 6
c : -4.5119, 1 -> 7
b : 2.1474, 1 -> 2
c : 0.4723, 2 -> 7
b : -1.9129, 2 -> 5
a : 2.7095, 3 -> 6
b : -7.3484, 3 -> 5
c : -5.7883, 4 -> 2
a : -6.8575, 4 -> 7
c : -4.9125, 5 -> 1
b : 4.0061, 5 -> 2
b : -5.6569, 6 -> 3
d : 5.5347, 6 -> 7
c : 5.6116, 7 -> 6
d : -4.7078, 7 -> 1
