a : -1.6805, 0 -> 6
b : 3.7524, 0 -> 7
c : 1.0683, 0 -> 6
d : 6.1114, 0 -> 6
a : -5.1151, 1 -> 2
b : -1.5229, 1 -> 4
c : -1.2391, 1 -> 2
d : -9.0740, 1 -> 0
a : -0.6251, 2 -> 1
b : -5.7745, 2 -> 4
c : -7.4289, 2 -> 1
d : -6.4869, 2 -> 3
a : -5.0527, 3 -> 6
b : 6.9516, 3 -> 4
c : 6.0958, 3 -> 4
d : -3.6861, 3 -> 7
a : -6.6136, 4 -> 3
b : 1.2017, 4 -> 2
c : 1.7576, 4 -> 4
d : 7.0734, 4 -> 7
a : -5.2724, 5 -> 1
b : -8.8060, 5 -> 0
c : -7.9007, 5 -> 6
d : -6.0024, 5 -> 4
a : 6.9267, 6 -> 4
b : -6.4812, 6 -> 5
c : 4.4988, 6 -> 2
d : 0.9271, 6 -> 0
a : 4.4606, 7 -> 7
b : -8.7762, 7 -> 0
c : -0.8366, 7 -> 4
d : 4.6275, 7 -> 5
c : 1.1576, 0 -> 3
a : -8.6919, 0 -> 3
b : -6.6150, 1 -> 5
a : 8.8377, 1 -> 0
d : 0.0804, 2 -> 2
b : 2.5616, 2 -> 2
c : -4.3772, 3 -> 4
a : -6.5512, 3 -> 3
b : 8.6857, 4 -> 0
d : 4.7881, 4 -> 5
b : -2.3214, 5 -> 5
d : -6.1425, 5 -> 3
d : -2.9127, 6 -> 1
a : 6.1596, 6 -> 4
d : 4.6744, 7 -> 5
c : 4.1231, 7 -> 5
