a : -6.4165, 0 -> 2
b : -4.5847, 0 -> 2
c : 2.4531, 0 -> 1
d : -9.1976, 0 -> 3
a : 9.0835, 1 -> 2
b : 2.9833, 1 -> 3
c : -1.7218, 1 -> 6
d : 1.6415, 1 -> 5
a : -7.5295, 2 -> 4
b : 3.0701, 2 -> 1
c : -2.4227, 2 -> 2
d : 8.0239, 2 -> 0
a : -4.8962, 3 -> 0
b : 7.0497, 3 -> 3
c : -1.5088, 3 -> 7
d : -2.4664, 3 -> 3
a : -6.5073, 4 -> 6
b : 6.1449, 4 -> 5
c : 3.5876, 4 -> 5
d : 5.1629, 4 -> 7
a : -7.7708, 5 -> 2
b : 5.0341, 5 -> 2
c : -1.6721, 5 -> 6
d : 7.4261, 5 -> 5
a : -0.2855, 6 -> 4
b : 3.4172, 6 -> 6
c : -1.5747, 6 -> 1
d : -9.6610, 6 -> 4
a : 4.1812, 7 -> 3
b : -4.4718, 7 -> 0
c : -3.5755, 7 -> 7
d : -0.6550, 7 -> 2
d : 6.3082, 0 -> 4
b : -9.6142, 0 -> 3
b : 2.6921, 1 -> 3
d : 1.1520, 1 -> 2
d : 9.7581, 2 -> 0
a : -8.7365, 2 -> 2
a : 1.3930, 3 -> 4
b : 4.3615, 3 -> 1
b : 5.0132, 4 -> 7
b : 5.7552, 4 -> 1
c : -9.7028, 5 -> 6
c : -5.3702, 5 -> 4
c : -6.4295, 6 -> 5
a : -5.8047, 6 -> 2
a : 1.9586, 7 -> 6
b : 3.4246, 7 -> 1
