a : -6.5104, 0 -> 3
b : 5.2221, 0 -> 0
c : 9.4949, 0 -> 4
d : 2.2094, 0 -> 1
a : 0.4901, 1 -> 0
b : 3.2715, 1 -> 0
c : -7.9211, 1 -> 1
d : -3.2948, 1 -> 6
a : -1.2172, 2 -> 2
b : 1.1225, 2 -> 5
c : 6.2464, 2 -> 6
d : 4.3307, 2 -> 2
a : -5.9169, 3 -> 3
b : -8.1991, 3 -> 0
c : 4.6186, 3 -> 6
d : -2.2386, 3 -> 7
a : -3.5643, 4 -> 2
b : -3.7865, 4 -> 6
c : 3.2204, 4 -> 4
d : -6.6279, 4 -> 2
a : 6.5614, 5 -> 5
b : -5.6179, 5 -> 7
c : -9.0545, 5 -> 7
d : 9.8020, 5 -> 2
a : 4.0864, 6 -> 4
b : 6.1455, 6 -> 1
c : -6.3777, 6 -> 7
d : 4.9851, 6 -> 7
a : 0.0932, 7 -> 4
b : -7.1836, 7 -> 4
c : 7.1637, 7 -> 2
d : 2.8670, 7 -> 4
a : 2.9743, 0 -> 5
c : -4.3625, 0 -> 6
b : 0.3692, 1 -> 1
b : -1.7167, 1 -> 0
b : -2.3607, 2 -> 3
c : -6.6170, 2 -> 5
d : 2.9868, 3 -> 6
c : 7.5481, 3 -> 7
b : -9.5776, 4 -> 3
d : 0.0908, 4 -> 7
c : 7.1339, 5 -> 7
c : 5.9374, 5 -> 3
a : -3.3927, 6 -> 2
c : 6.3190, 6 -> 7
c : -8.1102, 7 -> 1
b : -2.8588, 7 -> 3
