a : 0.2335, 0 -> 1
b : 0.2425, 0 -> 5
c : 3.3004, 0 -> 2
d : -7.9404, 0 -> 7
a : -6.8337, 1 -> 2
b : 5.3720, 1 -> 4
c : 9.7539, 1 -> 0
d : 6.2480, 1 -> 2
a : 5.2838, 2 -> 0
b : 0.2010, 2 -> 0
c : -8.0695, 2 -> 2
d : 5.0310, 2 -> 0
a : -9.8585, 3 -> 2
b : -2.1454, 3 -> 5
c : 4.3273, 3 -> 6
d : 1.6964, 3 -> 4
a : -7.3676, 4 -> 0
b : -8.2648, 4 -> 4
c : 2.6981, 4 -> 1
d : 0.5015, 4 -> 6
a : 7.0966, 5 -> 4
b : -8.1847, 5 -> 4
c : -9.4093, 5 -> 1
d : -6.8121, 5 -> 7
a : 8.0187, 6 -> 3
b : -5.1105, 6 -> 5
c : -8.0727, 6 -> 0
d : 4.8315, 6 -> 4
a : 2.3842, 7 -> 3
b : 4.6802, 7 -> 1
c : -8.9151, 7 -> 7
d : 2.8294, 7 -> 4
b : 7.9682, 0 -> 0
a : 0.9144, 0 -> 2
c : 4.1608, 1 -> 3
d : -2.2633, 1 -> 4
c : 4.0851, 2 -> 7
a : -8.4320, 2 -> 5
c : 9.5892, 3 -> 6
d : 4.2994, 3 -> 0
b : -1.6585, 4 -> 4
b : -9.4095, 4 -> 1
c : -0.6698, 5 -> 3
c : 8.9935, 5 -> 0
d : -5.8261, 6 -> 1
d : -3.4238, 6 -> 2
b : 3.8333, 7 -> 2
a : -0.6843, 7 -> 0
